RequirementText,_class_
system use stored email address primary mean communicating information affected party,F
system notify affected party routine communication purpose including limited informing student upcoming offered class timeline schedule beshall,F
system notify affected party change occur affecting clinicals including limited clinical section capacity change clinical section cancellation,F
system notify affected party change occur affecting class including limited class cancellation class section detail change change class offering given quarter,F
system notify affected party change occur affecting cohort including limited change sequence cohort92s program study change given week92s schedule lab cancelled week due instructor illness,F
system notify affected party change occur affecting specific student including limited changing student92s status full time part time moving student different clinical section,F
program administratorsnursing staff member shall ability modify information relating cohort including cohort identifier program study preferred sequence class quarter cohort taking specific class,F
program administratorsnursing staff member shall ability modify information relating program study within nursing department including program study name required class program study,F
program administratorsnursing staff member shall ability modify information relating clinical site including clinical site name site contact person contact information address,F
program administratorsnursing staff member shall ability modify information relating clinical lab section including clinical site name departmentsection lab class instructor day time lab contact information,F
program administratorsnursing staff member shall ability modify information relating nursing student including student id student name phone number email status full time part time program study,F
dispute application shall comply corporate standard user interface creation internally externally used application,LF
screen created part dispute application must comply corporate standard interface creation,LF
list dispute case displayed search performed must color coded easy identification dispute case based upon dispute case status,US
100 cardmember merchant service representative shall use dispute application regularly 2day training course,US
100 cardmember service representative shall able successfully create dispute case first encounter completing training course,US
100 merchant service representative shall able successfully perform follow action dispute case first encounter completing training course,US
maximum wait time user navigating one screen another within dispute application shall 5 second,PE
dispute application shall support 350 concurrent user without degradation performance application,PE
dispute application shall available 24x7x365 exception following scheduled maintenance window monday 96 saturday 300am 400am est sunday 100amd 500am est,O
dispute application shall interface statement database statement database provides transaction detail dispute system transaction detail must obtained statement database,O
dispute application shall interface cardmember information database cardmember information database provides detailed information regard cardmember cardmember detail information must obtained cardmember information database,O
dispute application shall interface merchant information database merchant information database provides detailed information regard merchant merchant detail information shall obtained merchant information database,O
dispute application shall interface letter application allow dispute application request letter part dispute initiation dispute follow process letter request must sent print letter utility application,O
dispute application shall interface cardmember posting billing system allow dispute application request adjustment cardmember merchant92s account adjustment request must sent cardmember posting billing system,O
dispute application shall ensure user appropriate access level allowed initiate dispute request,SE
user update access must able initiate dispute request,SE
dispute application shall ensure authorized user allowed logon application,SE
authorized user authenticated must able logon dispute system,SE
dispute system shall generate user report detail new user added change existing user92s access level report reviewed auditing purpose,SE
addition new user modification user92s access shall recorded user report,SE
user account revoked reinstantiated system administrator,SE
system administrator shall able reset revoked user logon account,SE
dispute application shall manipulate view business data user direct access data file database,SE
update data file database must initiated dispute system,SE
dispute application must conform legal requirement specified merchant operating regulation,L
business rule specified dispute system shall compliance merchant operating regulation,L
dispute application must conform legal requirement specified regulation e regulation z govern credit card dispute processing,L
business rule specified dispute system shall compliance guideline regulation e regulation z,L
dispute application must maintain detailed history every action user take dispute case ensures complete audit trail question arise later regard particular dispute case,L
action modify existing dispute case must recorded case history,L
dispute system must accessible internal external user,F
dispute system must prevent user accessing dispute case belong cardholder base,F
dispute system facilitate direct data entry dispute case via user interface support real time response user,F
dispute system must provide different level access regard dispute case initiation followup action,F
dispute system shall provide view access capability authorized user application,F
dispute system shall provide update access capability authorized user application,F
dispute system must allow user select disputable transaction based age transaction user interface initiate dispute ticket retrieval request chargeback notification selected transaction,F
dispute system must provide user ability initiate single dispute case multiple transaction belong single merchant,F
dispute system provide user ability create initiate ticket retrieval request part ticket retrieval creation process system must prompt user enter required information create ticket retrieval request ticket retrieval request document sent merchant inquiring validity transaction,F
dispute system must allow user create three unique type ticket retrieval request three type ticket retrieval request 1 request original receipt 2 request copy receipt 3 request portfolio portfolio consists documentation would provide proof purchase documentation received car rental agency sale receipt,F
dispute system must prevent external user requesting original receipt request original receipt restricted internal user,F
dispute system must provide confirmation user upon creation ticket retrieval request contains following information dispute case number type retrieval requested copy original portfolio date merchant response due,F
dispute system shall allow user create initiate chargeback request system must prompt user enter required information initiate chargeback request chargeback request result printed chargeback notification sent merchant indicating account charged back proof provided disputed transaction valid,F
dispute system must provide confirmation user upon creation chargeback request confirmation must contain following information dispute case number type chargeback requested pending immediate date merchant response due,F
dispute system shall prevent creation duplicate dispute request 100 time,F
dispute system shall accurately provide list possible reason code given transaction list possible reason code must derived based type transaction industry merchant belongs according business rule defined dispute system,F
dispute system must provide ability view existing dispute case,F
dispute system must provide search functionality search method must include ability search 1 dispute case number 2 merchant account number 3 cardmember account number 4 issuer number addition criterion search functionality must allow user limit result search date range type dispute ticket retrieval request chargeback notification case status open closed dispute reason code,F
list dispute case meet entered search criterion must provided user list case must differentiate type andor status case color coding line item list example open case yellow closed case gray,F
dispute system shall provide user ability view history activity occurred dispute case,F
dispute system shall provide user ability follow dispute case via followup action list available follow action given dispute case must filtered status case access level user,F
dispute system shall record name user date activity creates modifies dispute case system detailed history action taken case including date user performed action must maintained auditing purpose,F
systematic nonuser initiated action occurs case dispute aging process case activity generated upon next logon user initiated dispute case must notified systematic action occurred dispute case,F
letter request must formatted according guideline specified print letter utility system,F
dispute case closed 6 month must purged online dispute database,F
product must support internet explorer 55,O
product must support mozilla firefox 10,O
product shall interface choice part system provides feed recycled part data,O
product shall run existing hardware environment,O
product shall adhere corporate architecture guideline,O
product shall comply corporate user interface guideline,LF
product shall comply corporate color scheme,LF
appearance product shall appear professional,LF
product shall easy use adjuster collision estimator 95 adjuster collision estimator shall find product easy use,US
product shall increase productivity collision estimator 80 collision estimator shall agree productivity increase within 1 month using product,US
user shall feel satisfied using product 85 user satisfied product,US
product shall easy learn adjuster collision estimator product shall learned two day onsite training,US
user shall easily locate instruction using product user help found within 90 system,US
search recycled part shall take longer 15 second search result shall returned 15 second,PE
search preferred repair facility shall take longer 8 second preferred repair facility returned within 8 second,PE
recycled part audit report shall returned user within 10 second audit report shall returned within 10 second,PE
preferred repair facility rating shall saved within 5 second save shall occur within 5 second,PE
product shall adhere corporate online availability schedule application brought within 98 scheduled outage per availability schedule,A
product shall achieve 98 uptime product shall fail 2 available online time,A
product shall able handle 1500 simultaneous user system shall perform 1500 user time,SC
average number recycled part record per day shall 50 000,SC
product shall able handle 10 000 concurrent user within 2 year initial launch,SC
estimator product shall able operated repair facility dirty noisy condition,O
product shall interface choiceparts system per day approximately 100,O
maintenance product fall within established corporate maintenance window,O
product shall supported using corporate support center,O
product installation upgrade shall handled middleware technology team within established launch time frame,O
adjuster request recycled part audit report user without adjuster role shall request recycled part audit,SE
adjuster supervisor role update preferred repair facility rating user without supervisor role access repair facility rating,SE
collision estimator shall search recycled part user without collision estimator role shall access search recycled part,SE
valid data shall entered system invalid data shall entered system,SE
one insurance company shall able view another insurance company claim data,SE
product shall free computer virus,SE
system shall prevent malicious attack including denial service,SE
product must comply sarbanesoxley,L
product shall comply estimatics law relating recycled part usage,L
product shall comply insurance regulation regarding claim processing,L
user shall search preferred repair facility using vehicle vehicle location radius mile,F
vehicle data shall include vehicle year make model,F
vehicle location shall include street address city state zipcode,F
system shall resolve zipcode street address city state zipcode unknown,F
search radius shall 1 30 mile,F
system shall locate preferred repair facility highest rating input criterion,F
adjuster shall enter preferred repair facility estimate assignment,F
adjuster shall able override preferred repair facitlity estimate assignment,F
preferred repair facility shall returned user,F
system shall return list repair facility within radius preferred repair facility determined,F
estimator shall search available recycled part using damaged vehicle part information,F
estimator shall search available recycled part using list preferred part supplier,F
system shall search available recycled part supplied vehicle part supplier,F
estimator shall search zipcode radius 30 mile part found preferred part supplier,F
system shall retain available recycled part supplier returned search,F
available recycled part information supplier shall returned user,F
estimator shall apply selected recycled part collision estimate,F
estimator shall apply recycled part collision estimate available part returned,F
adjuster shall review collision estimate,F
adjuster shall request recycled part audit collision estimate,F
recycled part search result provided estimator shall retrieved system,F
system shall generate audit report based available recycled part collision estimate,F
audit report shall include total number recycled part used estimate,F
audit report shall include number available recycled part original search result,F
audit report shall include percentage available recycled part used estimate,F
audit report shall include total score audit sum indivual line item,F
audit report shall displayed user,F
audit report shall available adjuster later point time,F
user shall select view preferred repair facility rating,F
current repair facility rating shall displayed user,F
system display blank set rating rating yet defined,F
user shall enter new rating based audit report,F
rating shall scale 110,F
rating shall include category attempted use recycled part actual use recycled part,F
user shall select save preferred repair facility rating,F
preferred repair facility rating shall saved system,F
product must work database management system dbms market whether dbms colocated product machine located different machine computer network,O
product function alongside server software operating system java runtime installed,O
product require collaboration database management system dbms dbms may located machine product separate machine residing computer network,O
product must make use webapplication server technology open source example include apache web server tomcat jboss application server,O
database management system oracle db2 mysql hsql need integrated product,O
product92s look feel shall able incorporate aspect customer92s organization logo branding identity,LF
product shall conservative professional appearance,LF
product shall make user want use 80 user surveyed report regularly using product first 2 week postlaunch,US
product shall easy use 90 user able successfully reserve conference room within 5 minute product use,US
product shall give user feedback necessary 80 user surveyed report product accurately confirms action,US
product shall allow user select chosen language one target market country,US
product shall allow customization start page view preference,US
employee able successfully use product within minute informally navigating product le 15 minute user shall able successfully setup meeting reserve conference room,US
product shall use standard navigation menu familiar web user,US
product shall allow intuitive searching available conference room,US
product shall conform american disability act,US
response shall fast enough avoid interrupting user92s flow thought 90 task shall complete within 5 second 98 task shall complete within 8 second,PE
aside server failure software product shall achieve 9999 time,A
product shall create exception log problem encountered within product transmission company analysis resolution,FT
product shall capable handling 1 000 concurrent request number increase 2 000 release 2 concurrency capacity must able handle peak scheduling time early morning late afternoon hour,SC
product shall able process 10 000 transaction per hour within two year launch number increase 20 000 release 2,SC
product shall expected operate least 5 year customer installation,SC
product shall used office environment,O
product must able interface html browser product shall transmit data user product without problem product shall display html properly 80 html browser tested minimum test 8 browser,O
product must able interface various database management system product shall communicate successfully database management system 100 transaction,O
product must able interface various email server product shall able send email,O
product shall available distribution via internet binary zip file,O
product shall available distribution packaged cd,O
product available licensing oneserver twofive server fiveormore server license,O
new user must able added system within 10 minute 90 new user able log system within 10 minute,US
product must designed using design pattern coding best practice 90 maintenance software developer able integrate new functionality product 2 working day,MN
product must highly configurable use various database management system end user 80 end user able integrate new database management system product without changing product92s software code,MN
maintenance release offered customer year release shall take longer 5 minute 80 customer base install,MN
every registered user access product92s support site via internet 70 registered user shall find solution problem within 5 minute using support site,US
customer shall able easily integrate new building map product throughout product92s lifecycle integration new map product shall possible little support product support staff,MN
product shall translated foreign language target market countries92 language future release emerging target market shall take 5 day configure product market92s language,US
product expected integrate multiple database management system product operate oracle sql server db2 mysql hsql m access,O
product shall able installed operating environment within 2 day,O
product shall ensure company employee external user companyapproved user id may product access 100 logons shall either company employee external user companyapproved user id,SE
manager able perform search query reservation user 100 search query reservation user shall logons management logons,SE
product shall ensure database92s data corresponds data entered user conference room reservation system contain information entered user,SE
product shall prevent input malicious data product andor adjacent hardwaresoftware systems92 data shall remain 100 uncorrupted time malicious data input product,SE
product andor dependent databasesfilesystems shall remain operational result input malicious data product andor dependent databasesfilesystems shall crash 100 time malicious data input product,FT
product shall ability receive automatic software update new threat emerge 100 customer able receive automatic software update transmitted installed product,SE
language product shall accommodate target market country 90 survey respondent target market country find language product acceptable,SC
product shall able display calendar date time according user92s locale 90 survey respondent target market country find date time formatting product correct,US
product must developed j2sej2ee programming language library,O
product shall record meeting entry,F
product notify employee meeting invitation,F
product shall ability send meeting reminder employee,F
product shall assign organizer contact information meeting create,F
product record meeting acknowledgement,F
product shall store new conference room,F
product shall update existing conference room,F
product able delete conference room,F
product shall able store new room equipment,F
product update existing room equipment,F
product shall able delete room equipment,F
product shall allow organizer invite employee meeting,F
time conference room reserved conference room schedule shall updated reflect time date reservation,F
product shall record transportation status equipment reserved,F
product shall display map company building showing conference room location,F
product shall record updated meeting agenda,F
product shall send meeting confirmation meeting organizer,F
product shall display room equipment according search parameter,F
product shall display conference room according search parameter,F
product shall record different meeting type,F
product shall record equipment reserved,F
product shall notify building personnel equipment transport request,F
product allow priviledged user view meeting schedule multiple reporting view,F
product shall able send meeting notification via different kind enduser specified method,F
product shall customizable look feel,F
product shall intuitive user interface,F
product display available status unreserved conference room,F
recreation inventory quantity adjustment period previous 30 day shall take 30min,PE
system shall allow minimum 6 user work time,PE
system shall utilize currently owned computer equipment,O
system shall able automatically backup business data restore demand,O
system shall maintain consistent security change user password andor permission take affect part system,SE
system shall granularly control access right major subsystem possible assign access right subsystem independently,SE
system shall meet applicable accounting standard final version system must successfully pas independent audit performed certified auditor,L
system shall require additional third party license resulting royalty fee,O
system shall allow generation inventory quantity adjustment document demand,F
system shall allow demand generation inventory quantity adjustment document since certain point time,F
iqa subsystem shall take account current inventory status adjust inventory substitutionary ingredient accordingly,F
system shall allow entering storing modifying product formula,F
product formula shall allow use semiproducts formula,F
product formula ingredient shall allow defining substitutionary ingredient,F
product formula substitutionary ingredient shall entered automatically pfe subsystem,F
formula substitutionary ingredient shall kept persisted order,F
product shall allow entering storing modifying product menu used po terminal,F
pme subsystem shall allow building product menu based list product kept accounting system,F
pme subsystem shall allow keeping submenu within menu product within submenu managed persisted order,F
pme subsystem shall allow product exist one submenu,F
rms system shall window xp look feel use gui future making use intuitive,F
system shall generate inventory quantity adjustment document based product daily sale data product formula,F
system shall generate inventory quantity adjustment document automatically daily product sale data available,F
administrator shall able activate prepaid card via administration section 5 second,PE
customer shall able check status prepaid card entering pin number 5 second,PE
system shall let customer register website 93pay go94 user 5 minute,PE
system shall let customer register website 93unlimited movie subscriber94 user 10 minute,PE
system shall let existing customer log website email address password 5 second,PE
system shall let customer cancel account process shall take longer 2 minute database mark account inactive user able log website,PE
system shall let administrator deactivate customer account 1 minute customer longer able access website,PE
system shall let administrator addremove movie website 5 minute entered movie information stored database available website,PE
system shall let administrator addremove category website 5 minute,PE
system shall let izogn manager access sale usage statistic 2 minute,PE
system shall let administrator generate unique prepaid pin 2 minute generate excel file generated pin,PE
website shall attractive audience website shall appear fun color bright vibrant,LF
website african feel alienate nonafricans website use animation page describing service grab user attention encourage sign,LF
website design modern clean concise,LF
product able used 90 novice user internet,US
user navigate maximum 4 page create account website,US
user able access streaming movie 2 click logging website,US
anonymous survey show 70 customer comfortable purchasing streaming movie 2 week using website,US
anonymous survey show 95 customer comfortable using purchasing prepaid card month using system,US
product shall retain customer92s buying preference information,US
product shall easy customer novice skill internet purchase watch streaming movie customer able purchase watch predetermined movie 3 minute,US
product shall use symbol word naturally understandable user familiar website,US
website use standard internet convention interacting user,US
interface user automated system shall maximum response time 5 second unless noted exception,PE
purchasing streaming movie prepaid card via credit card processing time maximum response time 15 second,PE
streaming movie buffering time take longer 10 second plus latency user92s connection,PE
streaming movie buffering occur latency user92s connection,PE
credit card information secured server accessible authorized izogn administrator information encrypted database,SE
website shall available use 24 hour per day 365 day per year,A
website shall achieve 995 time,A
movie shall streamed demand time day,A
website shall continue operate streaming server go,FT
website shall continue operate payment gateway go,FT
streaming server support 50 simultaneous streaming connection,SC
streaming server support maximum 700 movie new server added support movie,SC
server support maximum 1 000 simultaneous user,SC
website shall capable supporting 100 000 customer,SC
product shall expected operate within maximum maintenance budget minimum 2 year,MN
aspect website shall accessed web browser internet,O
hardware supporting current website used support new system,O
must able interface following browser ie 5x 60 netscape 6x 7x 8x firefox 10,O
website must interface cybersource api process credit card transaction,O
website must fully operational msn tv2,O
movie shall encoded streamed via window medium player 90,O
movie shall encoded 56k 256k stream,O
promotional update website take day update,MN
izogn administrator must able update category listing website within 2 minute,PE
izogn administrator must able add new product website within 2 minute,PE
system provide 24 hour 800 toll free number support customer,A
website provide help section answer solution common problem,US
velkat staff available phone support 7am7pm mf provide technical support izogn administrator,A
product shall able installed specified environment within 1 working day,O
registered customer purchase streaming movie,SE
customer stream movie purchased within 2 day viewing period,SE
authorized personnel access customer record database,SE
administrator activate prepaid card,SE
authorized personnel access sale information,SE
website shall prevent data corrupted incorrect data entered,SE
website shall protect intentional abuse notify administrator occurrence,SE
data integrity script run weekly basis verify integrity database,SE
website shall make user aware information practice collection data via privacy policy accessible page website,SE
system shall notify customer change information policy,SE
system shall reveal private information compliance organization92s information policy,SE
customer information stored secure database accessible authorized personnel,SE
credit card information encrypted database,SE
streaming server antivirus software prevent infection malicious virus,SE
website cater tribe nigeria,LF
website shall offensive religious ethnic group,LF
website appeal african nigerian,LF
website use flash provide animation home page,O
izognmovies shall meet licensing requirement set forth appropriate organization order stream african movie,L
website comply w3c standard,L
php code comply pear standard,L
website allow customer search movie title actor director,F
viewing movie detail website display movie description actor director entered administrator,F
website shall request authorize credit card payment allowing user stream movie,F
shall able stream purchased movie via window medium player 2 day aftere purchase date,F
website shall allow customer browse movie category entered izogn administrator,F
website shall allow customer view review selected movie customer,F
website shall allow customer add movie review selected movie,F
website shall allow izogn administrator approve review posted customer,F
system allow customer pay streaming movie prepaid card,F
website shall allow customer purchase prepaid card 5 10 20 value either credit card mailin payment option,F
system shall automatically update main page website every friday show 4 latest movie added website,F
system shall allow user update billing contact information via 93my account94 section website,F
prepaid card shall distributed via email via printed paper card,F
movie streamed customer purchased movie within 2day time period stream movie,F
website must able support free trial period various parameter set izogn manager,F
streaming movie sale logged database accessible administrator,F
registered customer information shall stored maintained database even customer cancel account,F
daily usage statistic logged accessible administrator,F
owner shall free access streaming movie,F
total lead cycle time must completed 5 minute 90 lead volume business hour 8am cst 8pm cst 3 minute 99 lead volume business hour,PE
lead evaluation complete time period longer 25 second 97 lead processed,PE
lead process longer 25 second system record event duration,PE
process must fit within processing time condition set forth auto rep assignment process lead assigned within 3 minute total life cycle,PE
lead washing process operate within established physical web service structure,O
washing process must use non binding neutral data format xml receiving processing lead data,O
defect report available technical unit 24x7 basis,A
washing parameter updated scheduled maintenance hour,MN
vendor verify invalid lead,F
vendor submit credit validation record applied enterprise billing system,F
lead scored high range system supply lead data score enterprise system,F
lead washing functionality validate lead received web service valid data,F
lead washing functionality insert lead captured web service,F
lead score fall within high average score process ara functionality,F
lead score fall within medium average set manual verification enrollment coordinator eleads system,F
lead score fall within low average returned supplying vendor,F
lead washing functionality compile contact academic scoring information total score,F
lead washing functionality use parameter supplied corporate school score part lead,F
lead washing functionality return lead data supplied vendor along reason rejection,F
lead washing functionality interface lead data parameter maintained,F
lead washing functionality verify user authentication right make parameter update,F
lead washing functionality store potential lead duplicate returned enterprise system,F
prior submitting lead enterprise system lead washing functionality assign lead admission rep,F
lead washing functionality shall receive period list available rep enterprise system,F
product shall simulate look ship sea,LF
product shall display grid within circle view periscope,LF
product shall display type ship grid using image specific type ship,LF
offensive player take shot product shall simulate sound ship sea,LF
shot marked miss product shall simulate sound shot missing target,LF
shot marked hit product shall simulate sound shot hitting target,LF
ship sunk product shall simulate sound sinking ship,LF
product shall available 24 hour per day seven day per week,A
product shall able handle large number game simultaneously,PE
response time shall fast enough maintain flow game response time shall 2 second 95 response 4 remaining response,PE
product shall protect identity player product shall provide player access information might reveal identity another player,PE
product shall intuitive selfexplanatory nine ten user shall able successfully complete game training,US
product shall available player understand english spanish french product shall allow user select language upon accessing product,US
product shall provide player access information might reveal identity another player,SE
response time shall fast enough maintain flow game response time shall 2 second 95 response 4 remaining response,PE
product shall maintain list player,F
product shall allow user identify player,F
game initiated product shall make player assigned game unavailable selection list player,F
product shall allow user remove list player time,F
product shall make inactive player unavailable selection list player,F
product shall remove player inactive 24 hour list player,F
product shall allow player initiate game selecting another available player list player,F
game initiated product shall display defensive grid player,F
game initiated product shall display offensive grid player,F
product shall prevent player viewing offensive defensive grid player,F
game initiated product shall allow player position 5 ship respective defensive grid,F
product shall allow player position ship horizontally grid,F
product shall allow player position ship vertically grid,F
product shall allow player position ship diagonally grid,F
product shall prevent player overlapping ship grid,F
player positioned 5 ship defensive grid product shall define status player first turn,F
turn product shall identify one player offensive status one player defensive status,F
product shall maintain status player turn either offensive defensive,F
start turn product shall notify player status,F
turn product shall allow offensive player define shot,F
shot product shall examine defensive grid defensive player determine whether shot hit miss,F
shot product shall notify player whether shot hit miss,F
shot product shall mark shot hit miss defensive grid defensive player,F
shot product shall mark shot hit miss offensive grid offensive player,F
hit result sinking ship product shall notify player ship sunk,F
hit result sinking ship product shall mark ship sunk defensive grid defensive player,F
hit result sinking ship product shall indicate type ship sunk defensive grid defensive player,F
hit result sinking ship product shall mark ship sunk offensive grid offensive player,F
shot marked hit product shall allow offensive player define shot,F
shot marked miss product shall change status offensive player defensive,F
shot marked miss product shall change status defensive player offensive,F
product shall continue assign turn game ended,F
product shall end game hit offensive player result sinking last defensive player92s ship previously marked sunk,F
product shall allow player end game time game,F
game ended product shall notify player game ended,F
notification game ending include reason game ended ie player game player ended game,F
game ended product shall allow player identify available player list player,F
game ended product shall allow player remove list player,F
system shall easy use caller supervisor caller supervisor must able accomplish system task within 2 minute,US
system shall easy learn caller supervisor caller supervisor shall learn use system within 10 minute,US
system shall responsive depaul teleservices center supervisor us system view caller schedule system response time must 2 second 90 time 5 second rest time,PE
56k connection system response time operation must 6 second 90 time,PE
112k connection faster system response time operation must 3 second 90 time,PE
system shall high availability every day yearthe system must available use 1200am 600pm day year,A
system must available use 700am 1159pm day year,A
product shall internet browser independentthe product must run using internet explorer netscape navigator,MN
product shall ensure supervisor advertise empty time slotsthe product must ensure supervisor allowed access advertise empty time slot,SE
product shall ensure supervisor enter caller92s schedulethe product must ensure supervisor allowed access advertise empty time slot,SE
product shall ensure supervisor view schedule callersthe product must ensure supervisor allowed access advertise empty time slot,SE
interface shall simple look interface usability survey 90 beta tester must report interface adequately simple,LF
interface shall appealing caller supervisor interface usability survey 80 beta tester must report interface appealing,LF
product shall provide gui based monitoring servicessystem administrator shall monitor message exchange predict determine problem also provide internal external support,LF
product shall comply city chicago application development guide frameworkapplication development framework provide structured graphical user interface,LF
product shall provide monitoring servicesthe product shall easy system administrator dba use two week usage,US
product shall provide error tracking servicesthe product shall help system administrator dba resolve transaction error 99 time,US
product shall provide portalsthe product shall help system administrator analyze transaction adhoc reporting kpis key performance indicator,US
