ID,RequirementText,_subclass_
ECSS-E-ST-60-10_1020001,"The specification of a performance shall consist of:     1. The quantities to be constrained.         NOTE 1 This is usually done specifying the appropriate indices (APE, MPE, RPE, PDE, PRE) as defined in 3.2                                                              NOTE 2 All the elements needed to fully describe the constrained quantities are listed there; for example, the associated timescales for MPE or RPE.     2. The allowed range for each of these quantities.     3. The probability that each quantity lies within the specified range.         NOTE This is often called the confidence level. See 4.1.4;     4. The interpretation of this probability.         NOTE 1 This is often referred to as the “statistical interpretation”. See annex A.1.2                                                              NOTE 2 The way to specify the statistical interpretation is described in 4.1.4.2                                                     ",P
ECSS-E-ST-60-10_1020002,"When specifying a requirement on the knowledge of the performance, the following elements shall be specified:     1. The quantities to be constrained.         NOTE 1 This is usually done specifying the appropriate indices (AKE, MKE, RKE) as defined in 3.2                                                              NOTE 2 All the elements needed to fully describe the constrained quantities are listed there; for example, the associated timescales for MKE or RKE.     2. The allowed range for each of these quantities.     3. The probability that each quantity lies within the specified range.         NOTE This is often called the confidence level. See 4.1.4;     4. The interpretation of this probability.         NOTE 1 This is often referred to as the “statistical interpretation”. See annex A.1.2                                                              NOTE 2 The way to specify the statistical interpretation is described in 4.1.4.2                                                          5. The conditions under which the requirement applies.         NOTE These conditions can be that the requirement refers to the state of knowledge on-board, on ground before post processing, or after post processing. This is explained further in annex A.1.3.",P
ECSS-E-ST-60-10_1020003,In the general case all probabilities shall be expressed as fractions or as percentages.,P
ECSS-E-ST-60-10_1020004,"Using the ‘ns’ notation for expressing probabilities shall be restricted to cases where the hypothesis of Gaussian distribution holds.     NOTE 1 For example: in the general case Pc = 0,95 or Pc = 95 % are both acceptable, but Pc = 2s is not. Indeed the ‘ns’ format assumes a Gaussian distribution; using this notation for a general statistical distribution can cause wrong assumptions to be made. For a Gaussian the 95 % (2s) bound is twice as far from the mean as the 68 % (1s) bound, but this relation does not hold for a general distribution.     NOTE 2 Upon certain conditions the assumption of Gaussian distribution is not to be excluded a priory. For example the central limit theorem states that the sum of a large number of independent and identically-distributed random variables is approximately normally distributed.",P
ECSS-E-ST-60-10_1020005,"When specifying the statistical interpretation (4.1.2a.4), it shall be stated which variables are varied across their possible ranges and which are set to worst case.     NOTE The most commonly used interpretations (temporal, ensemble, mixed) are extreme cases and can be inappropriate in some situations. Annex A.1.2 discusses this further.",P
ECSS-Q-ST-30-09_0400001,"Availability requirements shall respect the mandatory characteristics defined by the system engineering process.     NOTE E.g. traceable, identified, unique, or unambiguous.",A
ECSS-Q-ST-30-09_0400002,"For each availability requirement, a verification method shall exist.",A
ECSS-Q-ST-30-09_0400003,Each availability requirement shall be a quantitative requirement.,A
ECSS-Q-ST-30-09_0400006,Availability requirements shall be specified according to one or several of the following classes of availability specifications detailed in clause 5.2.,A
ECSS-Q-ST-30-09_0400007,"For each type of availability requirement, specified figures shall be defined as “mean” or “best estimate” probability figures (point estimation). Unit failure rates are generally computed in this way (or sometimes at 60 % confidence level).",A
ECSS-Q-ST-30-09_0400008,"If the operative scenario duration is longer than the system or equipment mean down time (more than 5 MDT), so that the instantaneous or mean availability can reach an asymptotic (or steady state) behaviour, then the requirement shall be formulated in terms of steady-state availability, assuring a simplifying (and generally conservative) approach.",A
ECSS-Q-ST-30-09_0400009,The availability during mission lifetime shall be computed as the ratio of time during which service is fulfilled over the total mission lifetime.,A
ECSS-Q-ST-30-09_0400010,"For non-maintainable systems, the availability during mission lifetime requirements shall be established considering that the mission is still operational at end of life.      NOTE For example, no single point failure is considered as an unavailability contributor.",A
ECSS-Q-ST-30-09_0400013,The availability at a specific time requirement shall address the probability that this “quasi-instantaneous” operation is successfully handled.,A
ECSS-Q-ST-30-09_0400014,"For non-maintainable systems, the availability at a specific time requirement shall specify by a single requirement both the availability and reliability characteristic.",A
ECSS-Q-ST-30-09_0400016,"If the availability is specified by a percentage or number of successfully delivered products, the availability requirement shall be expressed as follows:     1. A ratio of successfully delivered products over number of requested products.         NOTE For instance w.r.t. the applicable criteria for performance, delay, and coverage.     2. Cumulated service hours during the mission.         NOTE For example, expected number of TWTs x hours operation from a 12 out of 16 redundant channels configuration over 10 years.     3. Acquired database volume or percentage.         NOTE For example, geographical coverage for an Earth observation mission. ",A
ECSS-Q-ST-30-09_0400019,"The availability requirements shall be quantified using one or several of the following metrics:     1. inherent instantaneous availability;     2. operational instantaneous availability;     3. inherent mean availability;     4. operational mean availability;     5. inherent steady-state availability;     6. operational steady-state;     7. outage duration and occurrence;     8. MUT and MDT (or mean time to restore);     9. MTBF or MTBO, and MTTR;     10. MTTF or MTTO;     11. amount of successfully delivered products.",A
ECSS-Q-ST-30-09_0400020,"Following the definition of the system level availability requirements according to clause 5.2, the availability metrics and supporting metrics shall be selected according to Table 5-1.",A
ECSS-Q-ST-80_0720039,"The supplier shall establish software product assurance requirements for the next level suppliers, tailored to their role in the project, including a requirement to produce a software product assurance plan. ",G
ECSS-Q-ST-80_0720228,The software quality requirements (including safety and dependability requirements) shall be derived from the requirements defined at system level.,Q
ECSS-Q-ST-80_0720229,Quality requirements shall be expressed in quantitative terms or constraints.,Q
ECSS-Q-ST-80_0720236,The software quality requirements shall be documented in the requirements baseline and technical specification.,Q
ECSS-Q-ST-80_0720237,The software requirements shall be:      1. correct;     2. unambiguous;     3. complete;     4. consistent;     5. verifiable;     6. traceable.,Q
ECSS-Q-ST-80_0720238,For each requirement the method for verification and validation shall be specified. ,Q
ECSS-E-ST-10_0790006,"The system engineering function shall ensure consistency of the requirements at system level, at lower levels, as well as amongst levels.",G
ECSS-E-ST-10_0790007,The system engineering function shall ensure requirements generated in 5.2.1b. are in conformance with characteristics specified in ECSS-E-ST-10-06 clause 8.,G
ECSS-E-ST-10_0790008,The system engineering function shall ensure that each requirement for the lower level elements has a justification reflected in the requirement justification file in conformance with Annex O.,G
ECSS-E-ST-10_0790009,"The system engineering function shall ensure forward and backward traceability of all requirements: 1.	to their sources;  2.	to the lower level requirements, if existing; 3.	to changes in the design inducing modifications of the requirements; 4.	to their verification close-out.",G
