Term,ECSS Standards,Branches
component,"['ECSS_E_ST_10_12C', 'ECSS_E_ST_35CRev1', 'ECSS_E_ST_33_11CRev1', 'ECSS_E_ST_40_07C', 'ECSS_S_ST_00_01C', 'ECSS_Q_ST_70_08C', 'ECSS_E_ST_33_01C', 'ECSS_E_ST_33_11C']","['E', 'S', 'Q']"
continuous slowing down approximation range,['ECSS_E_ST_10_12C'],['E']
cots,"['ECSS_E_ST_10_12C', 'ECSS_S_ST_00_01C']","['E', 'S']"
critical charge,['ECSS_E_ST_10_12C'],['E']
cross-section,['ECSS_E_ST_10_12C'],['E']
directional dose equivalent,['ECSS_E_ST_10_12C'],['E']
displacement damage,['ECSS_E_ST_10_12C'],['E']
dose,"['ECSS_E_ST_10_12C', 'ECSS_E_ST_20_06CRev1', 'ECSS_E_ST_10_04CRev1', 'ECSS_E_ST_20_06C', 'ECSS_E_ST_10_04C']",['E']
dose equivalent,"['ECSS_E_ST_10_12C', 'ECSS_E_ST_10_04C']",['E']
dose rate,['ECSS_E_ST_10_12C'],['E']
effective dose,['ECSS_E_ST_10_12C'],['E']
energetic particle,"['ECSS_E_ST_10_12C', 'ECSS_E_ST_10_04CRev1', 'ECSS_E_ST_10_04C']",['E']
equivalent dose,['ECSS_E_ST_10_12C'],['E']
equivalent fluence,"['ECSS_E_ST_10_12C', 'ECSS_E_ST_10_04CRev1', 'ECSS_E_ST_10_04C']",['E']
extrapolated range,['ECSS_E_ST_10_12C'],['E']
firsov scattering,['ECSS_E_ST_10_12C'],['E']
fluence,"['ECSS_E_ST_10_12C', 'ECSS_E_ST_20_06CRev1', 'ECSS_E_ST_10_04CRev1', 'ECSS_Q_ST_70_06C', 'ECSS_E_ST_20_06C', 'ECSS_E_ST_10_04C']","['E', 'Q']"
flux,"['ECSS_E_ST_10_12C', 'ECSS_E_ST_10_04CRev1', 'ECSS_Q_ST_70_06C', 'ECSS_Q_ST_70_61C', 'ECSS_Q_ST_70_40C', 'ECSS_Q_ST_70_08C', 'ECSS_E_ST_10_04C']","['E', 'Q']"
icru sphere,['ECSS_E_ST_10_12C'],['E']
icru soft tissue,['ECSS_E_ST_10_12C'],['E']
ionising dose,['ECSS_E_ST_10_12C'],['E']
ionising radiation,['ECSS_E_ST_10_12C'],['E']
isotropic,"['ECSS_E_ST_10_12C', 'ECSS_E_ST_10_04CRev1', 'ECSS_E_ST_10_04C']",['E']
l or l-shell,['ECSS_E_ST_10_12C'],['E']
linear energy transfer,"['ECSS_E_ST_10_12C', 'ECSS_E_ST_10_04CRev1', 'ECSS_E_ST_10_04C']",['E']
let threshold,['ECSS_E_ST_10_12C'],['E']
margin,['ECSS_E_ST_10_12C'],['E']
mean organ absorbed dose,['ECSS_E_ST_10_12C'],['E']
mean range,['ECSS_E_ST_10_12C'],['E']
multiple bit upset,['ECSS_E_ST_10_12C'],['E']
multiple cell upset,['ECSS_E_ST_10_12C'],['E']
"non-ionising dose, nid, or non-ionising energy loss  dose",['ECSS_E_ST_10_12C'],['E']
niel or niel rate or niel coefficient,['ECSS_E_ST_10_12C'],['E']
omnidirectional flux,"['ECSS_E_ST_10_12C', 'ECSS_E_ST_20_06CRev1', 'ECSS_E_ST_10_04CRev1', 'ECSS_E_ST_20_06C', 'ECSS_E_ST_10_04C']",['E']
organ equivalent dose,['ECSS_E_ST_10_12C'],['E']
personal dose equivalent,['ECSS_E_ST_10_12C'],['E']
plasma,"['ECSS_E_ST_10_12C', 'ECSS_E_ST_35CRev1', 'ECSS_E_ST_20_06CRev1', 'ECSS_E_ST_10_04CRev1', 'ECSS_E_ST_20_06C', 'ECSS_E_ST_10_04C']",['E']
projected range,['ECSS_E_ST_10_12C'],['E']
quality factor,['ECSS_E_ST_10_12C'],['E']
radiation,"['ECSS_E_ST_10_12C', 'ECSS_E_ST_20_06CRev1', 'ECSS_E_ST_10_04CRev1', 'ECSS_E_ST_20_06C', 'ECSS_E_ST_10_04C']",['E']
radiation design margin,"['ECSS_E_ST_10_12C', 'ECSS_Q_ST_60_15C']","['E', 'Q']"
radiation weighting factor,['ECSS_E_ST_10_12C'],['E']
relative biological effectiveness,['ECSS_E_ST_10_12C'],['E']
sensitive volume,['ECSS_E_ST_10_12C'],['E']
single event burnout,['ECSS_E_ST_10_12C'],['E']
single event dielectric rupture,['ECSS_E_ST_10_12C'],['E']
single event disturb,['ECSS_E_ST_10_12C'],['E']
single event effect,['ECSS_E_ST_10_12C'],['E']
single event functional interrupt,['ECSS_E_ST_10_12C'],['E']
single event gate rupture,['ECSS_E_ST_10_12C'],['E']
single event hard error,['ECSS_E_ST_10_12C'],['E']
single event latch-up,['ECSS_E_ST_10_12C'],['E']
single event snapback,['ECSS_E_ST_10_12C'],['E']
single event transient,['ECSS_E_ST_10_12C'],['E']
single event upset,['ECSS_E_ST_10_12C'],['E']
single word multiple bit upset,['ECSS_E_ST_10_12C'],['E']
solar energetic particle event,['ECSS_E_ST_10_12C'],['E']
stopping power,['ECSS_E_ST_10_12C'],['E']
tissue weighting factor,['ECSS_E_ST_10_12C'],['E']
total ionising dose,['ECSS_E_ST_10_12C'],['E']
acceptance margin,"['ECSS_E_ST_31C', 'ECSS_E_ST_10_03CRev1', 'ECSS_E_ST_10_03C']",['E']
acceptance temperature range,['ECSS_E_ST_31C'],['E']
calculated temperature range,['ECSS_E_ST_31C'],['E']
climatic test,['ECSS_E_ST_31C'],['E']
thermal component,['ECSS_E_ST_31C'],['E']
correlation,['ECSS_E_ST_31C'],['E']
design temperature range,['ECSS_E_ST_31C'],['E']
geometrical mathematical model,['ECSS_E_ST_31C'],['E']
heat dissipation,['ECSS_E_ST_31C'],['E']
heat flux,['ECSS_E_ST_31C'],['E']
heat leak,['ECSS_E_ST_31C'],['E']
heat lift,['ECSS_E_ST_31C'],['E']
heat storage,['ECSS_E_ST_31C'],['E']
induced environment,['ECSS_E_ST_31C'],['E']
infrared test,['ECSS_E_ST_31C'],['E']
minimum switch-on temperature,['ECSS_E_ST_31C'],['E']
natural environment,['ECSS_E_ST_31C'],['E']
predicted temperature range,['ECSS_E_ST_31C'],['E']
qualification margin,"['ECSS_E_ST_31C', 'ECSS_E_ST_10_03CRev1', 'ECSS_E_ST_10_03C']",['E']
qualification temperature range,['ECSS_E_ST_31C'],['E']
qualification test,"['ECSS_E_ST_31C', 'ECSS_E_ST_20_01C']",['E']
radiative sink temperature,['ECSS_E_ST_31C'],['E']
sensitivity analysis,"['ECSS_E_ST_31C', 'ECSS_E_ST_60_30C']",['E']
solar simulation test,['ECSS_E_ST_31C'],['E']
success criteria,['ECSS_E_ST_31C'],['E']
system authority,['ECSS_E_ST_31C'],['E']
system interface temperature point,['ECSS_E_ST_31C'],['E']
temperature difference,['ECSS_E_ST_31C'],['E']
temperature gradient,['ECSS_E_ST_31C'],['E']
temperature mean deviation,['ECSS_E_ST_31C'],['E']
temperature reference point,['ECSS_E_ST_31C'],['E']
temperature stability,['ECSS_E_ST_31C'],['E']
temperature standard deviation,['ECSS_E_ST_31C'],['E']
temperature uniformity,['ECSS_E_ST_31C'],['E']
temperature variation,['ECSS_E_ST_31C'],['E']
thermal balance test,"['ECSS_E_ST_31C', 'ECSS_S_ST_00_01C']","['E', 'S']"
thermal design case,['ECSS_E_ST_31C'],['E']
thermal mathematical model,['ECSS_E_ST_31C'],['E']
thermal node,['ECSS_E_ST_31C'],['E']
thermal vacuum test,"['ECSS_E_ST_31C', 'ECSS_S_ST_00_01C']","['E', 'S']"
uncertainties,['ECSS_E_ST_31C'],['E']
unit,"['ECSS_E_ST_31C', 'ECSS_E_ST_50_11C', 'ECSS_E_ST_50_12CRev1', 'ECSS_E_ST_20_07CRev2', 'ECSS_S_ST_00_01C', 'ECSS_E_ST_20_07C', 'ECSS_E_ST_50_12C', 'ECSS_E_ST_20_07CRev1']","['E', 'S']"
unit acceptance test temperature range,['ECSS_E_ST_31C'],['E']
unit internal design temperature range,['ECSS_E_ST_31C'],['E']
unit qualification test temperature range,['ECSS_E_ST_31C'],['E']
cryogenic temperature range,['ECSS_E_ST_31C'],['E']
cryogenic control system,['ECSS_E_ST_31C'],['E']
maximum cryogenic heat load,['ECSS_E_ST_31C'],['E']
maximum cryogenic temperature,['ECSS_E_ST_31C'],['E']
nominal cryogenic heat load,['ECSS_E_ST_31C'],['E']
nominal cryogenic temperature,['ECSS_E_ST_31C'],['E']
ultimate cryogenic heat load,['ECSS_E_ST_31C'],['E']
ultimate cryogenic temperature,['ECSS_E_ST_31C'],['E']
high temperature range,['ECSS_E_ST_31C'],['E']
ablation,['ECSS_E_ST_31C'],['E']
aerodynamic heating,['ECSS_E_ST_31C'],['E']
allowable temperatures,['ECSS_E_ST_31C'],['E']
arc-jet test,['ECSS_E_ST_31C'],['E']
combined loads,['ECSS_E_ST_31C'],['E']
hot structure,['ECSS_E_ST_31C'],['E']
limit aero-thermal heat flux,['ECSS_E_ST_31C'],['E']
limit temperatures,['ECSS_E_ST_31C'],['E']
nominal aero-thermal heat fluxes,['ECSS_E_ST_31C'],['E']
nominal temperatures,['ECSS_E_ST_31C'],['E']
plasma wind-tunnel,['ECSS_E_ST_31C'],['E']
protected structure,['ECSS_E_ST_31C'],['E']
thermal protection subsystem,['ECSS_E_ST_31C'],['E']
ultimate aero-thermal heat fluxes,['ECSS_E_ST_31C'],['E']
ultimate temperature,['ECSS_E_ST_31C'],['E']
autofrettage,['ECSS_E_ST_32_02CRev1'],['E']
boss,['ECSS_E_ST_32_02CRev1'],['E']
burst factor,['ECSS_E_ST_32_02CRev1'],['E']
burst pressure,['ECSS_E_ST_32_02CRev1'],['E']
composite over-wrap,['ECSS_E_ST_32_02CRev1'],['E']
composite over-wrapped pressure vessel,['ECSS_E_ST_32_02CRev1'],['E']
composite over-wrapped pressurized component,['ECSS_E_ST_32_02CRev1'],['E']
composite over-wrapped pressurized structure,['ECSS_E_ST_32_02CRev1'],['E']
composite over-wrapped special pressurized equipment,['ECSS_E_ST_32_02CRev1'],['E']
composite pressure vessel,['ECSS_E_ST_32_02CRev1'],['E']
composite pressurized structure,['ECSS_E_ST_32_02CRev1'],['E']
critical flaw,['ECSS_E_ST_32_02CRev1'],['E']
cryostat,['ECSS_E_ST_32_02CRev1'],['E']
design burst pressure,['ECSS_E_ST_32_02CRev1'],['E']
differential pressure,['ECSS_E_ST_32_02CRev1'],['E']
external pressure,['ECSS_E_ST_32_02CRev1'],['E']
fibre failure,['ECSS_E_ST_32_02CRev1'],['E']
fitting,['ECSS_E_ST_32_02CRev1'],['E']
hazardous fluid container,['ECSS_E_ST_32_02CRev1'],['E']
hydrogen embrittlement,"['ECSS_E_ST_32_02CRev1', 'ECSS_E_ST_35_10C']",['E']
impact damage,['ECSS_E_ST_32_02CRev1'],['E']
inter-fibre failure,['ECSS_E_ST_32_02CRev1'],['E']
internal pressure,['ECSS_E_ST_32_02CRev1'],['E']
leak-before-burst,['ECSS_E_ST_32_02CRev1'],['E']
liner,['ECSS_E_ST_32_02CRev1'],['E']
line,"['ECSS_E_ST_32_02CRev1', 'ECSS_E_ST_50_11C']",['E']
maximum design pressure,"['ECSS_E_ST_32_02CRev1', 'ECSS_E_ST_32CRev1', 'ECSS_E_ST_31_02CRev1', 'ECSS_E_ST_31_02C']",['E']
maximum expected operating pressure,"['ECSS_E_ST_32_02CRev1', 'ECSS_E_ST_32CRev1']",['E']
mechanical damage,"['ECSS_E_ST_32_02CRev1', 'ECSS_E_ST_32_01CRev2', 'ECSS_E_ST_32_01CRev1']",['E']
metallic pressure vessel,['ECSS_E_ST_32_02CRev1'],['E']
metallic pressurized structure,['ECSS_E_ST_32_02CRev1'],['E']
metallic pressurized component,['ECSS_E_ST_32_02CRev1'],['E']
metallic special pressurized equipment,['ECSS_E_ST_32_02CRev1'],['E']
non-hazardous lbb failure mode,['ECSS_E_ST_32_02CRev1'],['E']
pressure component,['ECSS_E_ST_32_02CRev1'],['E']
pressure vessel,['ECSS_E_ST_32_02CRev1'],['E']
pressurized hardware,['ECSS_E_ST_32_02CRev1'],['E']
pressurized structure,['ECSS_E_ST_32_02CRev1'],['E']
pressurized system,['ECSS_E_ST_32_02CRev1'],['E']
proof factor,['ECSS_E_ST_32_02CRev1'],['E']
proof pressure,['ECSS_E_ST_32_02CRev1'],['E']
proof test,"['ECSS_E_ST_32_02CRev1', 'ECSS_E_ST_32CRev1']",['E']
sealed container,['ECSS_E_ST_32_02CRev1'],['E']
sizing pressure,['ECSS_E_ST_32_02CRev1'],['E']
special pressurized equipment,['ECSS_E_ST_32_02CRev1'],['E']
visual damage threshold,['ECSS_E_ST_32_02CRev1'],['E']
constrained dof,['ECSS_E_ST_32_03C'],['E']
degrees of freedom,['ECSS_E_ST_32_03C'],['E']
dependent dof,['ECSS_E_ST_32_03C'],['E']
dynamic reduction,['ECSS_E_ST_32_03C'],['E']
free dof,['ECSS_E_ST_32_03C'],['E']
modal dofs,['ECSS_E_ST_32_03C'],['E']
output transformation matrix,['ECSS_E_ST_32_03C'],['E']
quantifiable structure variable,['ECSS_E_ST_32_03C'],['E']
rigid body motion matrix,['ECSS_E_ST_32_03C'],['E']
size of fe model,['ECSS_E_ST_32_03C'],['E']
static reduction,['ECSS_E_ST_32_03C'],['E']
structural model,"['ECSS_E_ST_32_03C', 'ECSS_S_ST_00_01C']","['E', 'S']"
composite sandwich construction,"['ECSS_E_ST_32_08CRev1', 'ECSS_E_ST_32_08C']",['E']
material design allowable,"['ECSS_E_ST_32_08CRev1', 'ECSS_E_ST_32_08C']",['E']
micro-yield,"['ECSS_E_ST_32_08CRev1', 'ECSS_E_ST_32_08C']",['E']
polymer,"['ECSS_E_ST_32_08CRev1', 'ECSS_E_ST_32_08C']",['E']
accelerance,['ECSS_E_ST_32_11C'],['E']
apparent mass,['ECSS_E_ST_32_11C'],['E']
auto modal assurance criterion automac,['ECSS_E_ST_32_11C'],['E']
coherence function,['ECSS_E_ST_32_11C'],['E']
complex mode shape,['ECSS_E_ST_32_11C'],['E']
complex mode indicator function,['ECSS_E_ST_32_11C'],['E']
co-ordinate modal assurance criterion comac,['ECSS_E_ST_32_11C'],['E']
damping,['ECSS_E_ST_32_11C'],['E']
damped natural frequency,['ECSS_E_ST_32_11C'],['E']
driving point residue,['ECSS_E_ST_32_11C'],['E']
dynamic compliance,['ECSS_E_ST_32_11C'],['E']
dynamic stiffness,['ECSS_E_ST_32_11C'],['E']
effective modal mass,['ECSS_E_ST_32_11C'],['E']
eigenfrequency,['ECSS_E_ST_32_11C'],['E']
finite element model fem,['ECSS_E_ST_32_11C'],['E']
forced vibration,['ECSS_E_ST_32_11C'],['E']
free vibration,['ECSS_E_ST_32_11C'],['E']
frequency response assurance criterion frac,['ECSS_E_ST_32_11C'],['E']
frequency response function frf,['ECSS_E_ST_32_11C'],['E']
fundamental resonance,['ECSS_E_ST_32_11C'],['E']
impact,['ECSS_E_ST_32_11C'],['E']
impedance,['ECSS_E_ST_32_11C'],['E']
linear system,['ECSS_E_ST_32_11C'],['E']
mobility,['ECSS_E_ST_32_11C'],['E']
modal analysis,['ECSS_E_ST_32_11C'],['E']
modal assurance criterion mac,['ECSS_E_ST_32_11C'],['E']
modal confidence factor mcf,['ECSS_E_ST_32_11C'],['E']
modal identification,['ECSS_E_ST_32_11C'],['E']
modal parameters,['ECSS_E_ST_32_11C'],['E']
modal participation factor,['ECSS_E_ST_32_11C'],['E']
modal scale factor msf,['ECSS_E_ST_32_11C'],['E']
modal survey test mst,['ECSS_E_ST_32_11C'],['E']
mode indicator function mif,['ECSS_E_ST_32_11C'],['E']
mode shape,['ECSS_E_ST_32_11C'],['E']
multi-variate mode indicator function mmif,['ECSS_E_ST_32_11C'],['E']
natural frequency,['ECSS_E_ST_32_11C'],['E']
noise,"['ECSS_E_ST_32_11C', 'ECSS_E_ST_60_21C']",['E']
normal mode shape,['ECSS_E_ST_32_11C'],['E']
orthogonality check,['ECSS_E_ST_32_11C'],['E']
pick-up,['ECSS_E_ST_32_11C'],['E']
pre-test analysis,['ECSS_E_ST_32_11C'],['E']
real mode shape,['ECSS_E_ST_32_11C'],['E']
reciprocity,['ECSS_E_ST_32_11C'],['E']
resonance,['ECSS_E_ST_32_11C'],['E']
resonance frequency,['ECSS_E_ST_32_11C'],['E']
response,"['ECSS_E_ST_32_11C', 'ECSS_E_ST_50_51C']",['E']
response vector assurance criterion rvac,['ECSS_E_ST_32_11C'],['E']
signal analysis,['ECSS_E_ST_32_11C'],['E']
signal-to-noise ratio,['ECSS_E_ST_32_11C'],['E']
signal conditioner,['ECSS_E_ST_32_11C'],['E']
spectrum control,['ECSS_E_ST_32_11C'],['E']
steady-state vibration,['ECSS_E_ST_32_11C'],['E']
test analysis model tam,['ECSS_E_ST_32_11C'],['E']
test equipment,['ECSS_E_ST_32_11C'],['E']
test set-up,['ECSS_E_ST_32_11C'],['E']
transducer,['ECSS_E_ST_32_11C'],['E']
transducer sensitivity,['ECSS_E_ST_32_11C'],['E']
transient,"['ECSS_E_ST_32_11C', 'ECSS_Q_ST_30_11CRev2', 'ECSS_Q_ST_30_11CRev1']","['E', 'Q']"
transmissibility,['ECSS_E_ST_32_11C'],['E']
a-basis design allowable,['ECSS_E_ST_32CRev1'],['E']
b-basis design allowable,['ECSS_E_ST_32CRev1'],['E']
buckling,['ECSS_E_ST_32CRev1'],['E']
composite material,['ECSS_E_ST_32CRev1'],['E']
composite structure,['ECSS_E_ST_32CRev1'],['E']
contributing loads,['ECSS_E_ST_32CRev1'],['E']
damage tolerance,"['ECSS_E_ST_32CRev1', 'ECSS_Q_ST_70_45C']","['E', 'Q']"
design allowable,['ECSS_E_ST_32CRev1'],['E']
design factor,['ECSS_E_ST_32CRev1'],['E']
design limit load,['ECSS_E_ST_32CRev1'],['E']
design load,['ECSS_E_ST_32CRev1'],['E']
design parameters,['ECSS_E_ST_32CRev1'],['E']
design ultimate load,['ECSS_E_ST_32CRev1'],['E']
design ultimate stress,['ECSS_E_ST_32CRev1'],['E']
design yield load,['ECSS_E_ST_32CRev1'],['E']
design yield stress,['ECSS_E_ST_32CRev1'],['E']
detrimental deformation,['ECSS_E_ST_32CRev1'],['E']
dynamic load,['ECSS_E_ST_32CRev1'],['E']
effective mass,['ECSS_E_ST_32CRev1'],['E']
factor of safety,['ECSS_E_ST_32CRev1'],['E']
failure,"['ECSS_E_ST_32CRev1', 'ECSS_Q_ST_70_45C', 'ECSS_S_ST_00_01C']","['E', 'Q', 'S']"
fail-safe structure,['ECSS_E_ST_32CRev1'],['E']
flaw,['ECSS_E_ST_32CRev1'],['E']
generalized mass,['ECSS_E_ST_32CRev1'],['E']
limited service life items,['ECSS_E_ST_32CRev1'],['E']
limit load,['ECSS_E_ST_32CRev1'],['E']
mission life,['ECSS_E_ST_32CRev1'],['E']
primary structure,['ECSS_E_ST_32CRev1'],['E']
proof load,['ECSS_E_ST_32CRev1'],['E']
random load,['ECSS_E_ST_32CRev1'],['E']
relieving loads,['ECSS_E_ST_32CRev1'],['E']
residual stress,"['ECSS_E_ST_32CRev1', 'ECSS_E_ST_32_01CRev2', 'ECSS_E_ST_32_01CRev1']",['E']
safe life,"['ECSS_E_ST_32CRev1', 'ECSS_E_ST_32_01CRev1']",['E']
safe life structure,['ECSS_E_ST_32CRev1'],['E']
scatter factor,['ECSS_E_ST_32CRev1'],['E']
service life,['ECSS_E_ST_32CRev1'],['E']
secondary structure,['ECSS_E_ST_32CRev1'],['E']
shock load,['ECSS_E_ST_32CRev1'],['E']
static loads,['ECSS_E_ST_32CRev1'],['E']
stiffness,['ECSS_E_ST_32CRev1'],['E']
structural design,['ECSS_E_ST_32CRev1'],['E']
structure,['ECSS_E_ST_32CRev1'],['E']
transient load,['ECSS_E_ST_32CRev1'],['E']
ultimate strength,['ECSS_E_ST_32CRev1'],['E']
yield strength,['ECSS_E_ST_32CRev1'],['E']
anoxic,['ECSS_E_ST_34C'],['E']
closed-loop eclss,['ECSS_E_ST_34C'],['E']
compression,['ECSS_E_ST_34C'],['E']
decompression,['ECSS_E_ST_34C'],['E']
depressurization,['ECSS_E_ST_34C'],['E']
environmental control and life support,['ECSS_E_ST_34C'],['E']
environmental control and life support system,['ECSS_E_ST_34C'],['E']
hypoxic,['ECSS_E_ST_34C'],['E']
open-loop eclss,['ECSS_E_ST_34C'],['E']
partial pressure,['ECSS_E_ST_34C'],['E']
pressurization,['ECSS_E_ST_34C'],['E']
re-compression,['ECSS_E_ST_34C'],['E']
re-pressurization,['ECSS_E_ST_34C'],['E']
safe haven,['ECSS_E_ST_34C'],['E']
ageing,['ECSS_E_ST_35_10C'],['E']
auto ignition temperature,['ECSS_E_ST_35_10C'],['E']
compatibility,"['ECSS_E_ST_35_10C', 'ECSS_E_ST_70_11C']",['E']
compatibility life,['ECSS_E_ST_35_10C'],['E']
contaminant gas,['ECSS_E_ST_35_10C'],['E']
corrosion,"['ECSS_E_ST_35_10C', 'ECSS_Q_ST_70_14C', 'ECSS_Q_ST_70_08C']","['E', 'Q']"
dissimilar metals,['ECSS_E_ST_35_10C'],['E']
galvanic corrosion,['ECSS_E_ST_35_10C'],['E']
ablated thickness,['ECSS_E_ST_35CRev1'],['E']
barbecue mode,['ECSS_E_ST_35CRev1'],['E']
beam divergence,['ECSS_E_ST_35CRev1'],['E']
buffeting,['ECSS_E_ST_35CRev1'],['E']
"burning time, tb",['ECSS_E_ST_35CRev1'],['E']
"characteristic velocity, c*",['ECSS_E_ST_35CRev1'],['E']
charred thickness,['ECSS_E_ST_35CRev1'],['E']
chill-down,['ECSS_E_ST_35CRev1'],['E']
contaminant,"['ECSS_E_ST_35CRev1', 'ECSS_E_ST_10_04CRev1', 'ECSS_Q_ST_70_54C', 'ECSS_Q_ST_70_01C', 'ECSS_Q_ST_70_06C', 'ECSS_S_ST_00_01C', 'ECSS_Q_ST_60_14C', 'ECSS_E_ST_10_04C']","['E', 'Q', 'S']"
corridor,['ECSS_E_ST_35CRev1'],['E']
critical speed,['ECSS_E_ST_35CRev1'],['E']
cryo-pumping,['ECSS_E_ST_35CRev1'],['E']
de-orbiting,['ECSS_E_ST_35CRev1'],['E']
dimensioning,['ECSS_E_ST_35CRev1'],['E']
dimensioning case,['ECSS_E_ST_35CRev1'],['E']
"discharge coefficient, cd",['ECSS_E_ST_35CRev1'],['E']
draining,['ECSS_E_ST_35CRev1'],['E']
electric thruster,['ECSS_E_ST_35CRev1'],['E']
engine inlet pressure,['ECSS_E_ST_35CRev1'],['E']
envelope,['ECSS_E_ST_35CRev1'],['E']
erosive burning,['ECSS_E_ST_35CRev1'],['E']
fluid hammer,['ECSS_E_ST_35CRev1'],['E']
flushing,['ECSS_E_ST_35CRev1'],['E']
flutter,['ECSS_E_ST_35CRev1'],['E']
functional transducer,['ECSS_E_ST_35CRev1'],['E']
graveyard orbit,['ECSS_E_ST_35CRev1'],['E']
ground support equipment gse,['ECSS_E_ST_35CRev1'],['E']
hump effect,['ECSS_E_ST_35CRev1'],['E']
hypergolic propellants,['ECSS_E_ST_35CRev1'],['E']
"ignition time, tign",['ECSS_E_ST_35CRev1'],['E']
impulse bit,['ECSS_E_ST_35CRev1'],['E']
initiator,"['ECSS_E_ST_35CRev1', 'ECSS_E_ST_50_51C', 'ECSS_E_ST_33_11CRev1', 'ECSS_E_ST_33_11C']",['E']
insulation thickness,['ECSS_E_ST_35CRev1'],['E']
interface,"['ECSS_E_ST_35CRev1', 'ECSS_E_ST_31_04C', 'ECSS_E_ST_40_07C', 'ECSS_S_ST_00_01C', 'ECSS_E_ST_50C']","['E', 'S']"
launch vehicle,"['ECSS_E_ST_35CRev1', 'ECSS_S_ST_00_01C']","['E', 'S']"
limit testing,"['ECSS_E_ST_35CRev1', 'ECSS_E_ST_33_11CRev1', 'ECSS_E_ST_33_11C']",['E']
liquid rocket engine,['ECSS_E_ST_35CRev1'],['E']
minimum impulse bit,['ECSS_E_ST_35CRev1'],['E']
mixture ratio,['ECSS_E_ST_35CRev1'],['E']
non affected thickness,['ECSS_E_ST_35CRev1'],['E']
nozzle,['ECSS_E_ST_35CRev1'],['E']
net positive suction pressure npsp,['ECSS_E_ST_35CRev1'],['E']
pogo,['ECSS_E_ST_35CRev1'],['E']
pre-heating time,['ECSS_E_ST_35CRev1'],['E']
pressurant,['ECSS_E_ST_35CRev1'],['E']
