Term,Type,ECSS Standards,Branches
critical flaw,full term,['ECSS-E-ST-32-02C Rev. 1'],['E']
cryostat,full term,['ECSS-E-ST-32-02C Rev. 1'],['E']
design burst pressure,full term,['ECSS-E-ST-32-02C Rev. 1'],['E']
differential pressure,full term,['ECSS-E-ST-32-02C Rev. 1'],['E']
external pressure,full term,['ECSS-E-ST-32-02C Rev. 1'],['E']
fibre failure,full term,['ECSS-E-ST-32-02C Rev. 1'],['E']
fitting,full term,['ECSS-E-ST-32-02C Rev. 1'],['E']
hazardous fluid container,full term,['ECSS-E-ST-32-02C Rev. 1'],['E']
hydrogen embrittlement,full term,"['ECSS-E-ST-32-02C Rev. 1', 'ECSS-E-ST-35-10C']",['E']
impact damage,full term,['ECSS-E-ST-32-02C Rev. 1'],['E']
inter-fibre failure,full term,['ECSS-E-ST-32-02C Rev. 1'],['E']
internal pressure,full term,['ECSS-E-ST-32-02C Rev. 1'],['E']
leak-before-burst,full term,['ECSS-E-ST-32-02C Rev. 1'],['E']
liner,full term,['ECSS-E-ST-32-02C Rev. 1'],['E']
line,full term,"['ECSS-E-ST-32-02C Rev. 1', 'ECSS-E-ST-50-11C']",['E']
maximum design pressure,full term,"['ECSS-E-ST-32-02C Rev. 1', 'ECSS-E-ST-32C Rev. 1', 'ECSS-E-ST-31-02C Rev.1', 'ECSS-E-ST-31-02C']",['E']
maximum expected operating pressure,full term,"['ECSS-E-ST-32-02C Rev. 1', 'ECSS-E-ST-32C Rev. 1']",['E']
mechanical damage,full term,"['ECSS-E-ST-32-02C Rev. 1', 'ECSS-E-ST-32-01C Rev. 2', 'ECSS-E-ST-32-01C Rev. 1']",['E']
metallic pressure vessel,full term,['ECSS-E-ST-32-02C Rev. 1'],['E']
metallic pressurized structure,full term,['ECSS-E-ST-32-02C Rev. 1'],['E']
metallic pressurized component,full term,['ECSS-E-ST-32-02C Rev. 1'],['E']
metallic special pressurized equipment,full term,['ECSS-E-ST-32-02C Rev. 1'],['E']
non-hazardous LBB failure mode,full term,['ECSS-E-ST-32-02C Rev. 1'],['E']
pressure component,full term,['ECSS-E-ST-32-02C Rev. 1'],['E']
pressure vessel,full term,['ECSS-E-ST-32-02C Rev. 1'],['E']
pressurized hardware,full term,['ECSS-E-ST-32-02C Rev. 1'],['E']
pressurized structure,full term,['ECSS-E-ST-32-02C Rev. 1'],['E']
pressurized system,full term,['ECSS-E-ST-32-02C Rev. 1'],['E']
proof factor,full term,['ECSS-E-ST-32-02C Rev. 1'],['E']
proof pressure,full term,['ECSS-E-ST-32-02C Rev. 1'],['E']
proof test,full term,"['ECSS-E-ST-32-02C Rev. 1', 'ECSS-E-ST-32C Rev. 1']",['E']
sealed container,full term,['ECSS-E-ST-32-02C Rev. 1'],['E']
sizing pressure,full term,['ECSS-E-ST-32-02C Rev. 1'],['E']
special pressurized equipment,full term,['ECSS-E-ST-32-02C Rev. 1'],['E']
visual damage threshold,full term,['ECSS-E-ST-32-02C Rev. 1'],['E']
constrained DOF,full term,['ECSS-E-ST-32-03C'],['E']
degrees of freedom,full term,['ECSS-E-ST-32-03C'],['E']
dependent DOF,full term,['ECSS-E-ST-32-03C'],['E']
dynamic reduction,full term,['ECSS-E-ST-32-03C'],['E']
free DOF,full term,['ECSS-E-ST-32-03C'],['E']
modal DOFs,full term,['ECSS-E-ST-32-03C'],['E']
output transformation matrix,full term,['ECSS-E-ST-32-03C'],['E']
quantifiable structure variable,full term,['ECSS-E-ST-32-03C'],['E']
rigid body motion matrix,full term,['ECSS-E-ST-32-03C'],['E']
size of FE model,full term,['ECSS-E-ST-32-03C'],['E']
static reduction,full term,['ECSS-E-ST-32-03C'],['E']
structural model,full term,"['ECSS-E-ST-32-03C', 'ECSS-S-ST-00-01C']","['E', 'S']"
composite sandwich construction,full term,"['ECSS-E-ST-32-08C Rev. 1', 'ECSS-E-ST-32-08C']",['E']
material design allowable,full term,"['ECSS-E-ST-32-08C Rev. 1', 'ECSS-E-ST-32-08C']",['E']
micro-yield,full term,"['ECSS-E-ST-32-08C Rev. 1', 'ECSS-E-ST-32-08C']",['E']
polymer,full term,"['ECSS-E-ST-32-08C Rev. 1', 'ECSS-E-ST-32-08C']",['E']
accelerance,full term,['ECSS-E-ST-32-11C'],['E']
apparent mass,full term,['ECSS-E-ST-32-11C'],['E']
auto modal assurance criterion AutoMAC,full term,['ECSS-E-ST-32-11C'],['E']
coherence function,full term,['ECSS-E-ST-32-11C'],['E']
complex mode shape,full term,['ECSS-E-ST-32-11C'],['E']
complex mode indicator function,full term,['ECSS-E-ST-32-11C'],['E']
co-ordinate modal assurance criterion CoMAC,full term,['ECSS-E-ST-32-11C'],['E']
damping,full term,['ECSS-E-ST-32-11C'],['E']
damped natural frequency,full term,['ECSS-E-ST-32-11C'],['E']
driving point residue,full term,['ECSS-E-ST-32-11C'],['E']
dynamic compliance,full term,['ECSS-E-ST-32-11C'],['E']
dynamic stiffness,full term,['ECSS-E-ST-32-11C'],['E']
effective modal mass,full term,['ECSS-E-ST-32-11C'],['E']
eigenfrequency,full term,['ECSS-E-ST-32-11C'],['E']
finite element model FEM,full term,['ECSS-E-ST-32-11C'],['E']
forced vibration,full term,['ECSS-E-ST-32-11C'],['E']
free vibration,full term,['ECSS-E-ST-32-11C'],['E']
frequency response assurance criterion FRAC,full term,['ECSS-E-ST-32-11C'],['E']
frequency response function FRF,full term,['ECSS-E-ST-32-11C'],['E']
fundamental resonance,full term,['ECSS-E-ST-32-11C'],['E']
impact,full term,['ECSS-E-ST-32-11C'],['E']
impedance,full term,['ECSS-E-ST-32-11C'],['E']
linear system,full term,['ECSS-E-ST-32-11C'],['E']
mobility,full term,['ECSS-E-ST-32-11C'],['E']
modal analysis,full term,['ECSS-E-ST-32-11C'],['E']
modal assurance criterion MAC,full term,['ECSS-E-ST-32-11C'],['E']
modal confidence factor MCF,full term,['ECSS-E-ST-32-11C'],['E']
modal identification,full term,['ECSS-E-ST-32-11C'],['E']
modal parameters,full term,['ECSS-E-ST-32-11C'],['E']
modal participation factor,full term,['ECSS-E-ST-32-11C'],['E']
modal scale factor MSF,full term,['ECSS-E-ST-32-11C'],['E']
modal survey test MST,full term,['ECSS-E-ST-32-11C'],['E']
mode indicator function MIF,full term,['ECSS-E-ST-32-11C'],['E']
mode shape,full term,['ECSS-E-ST-32-11C'],['E']
multi-variate mode indicator function MMIF,full term,['ECSS-E-ST-32-11C'],['E']
natural frequency,full term,['ECSS-E-ST-32-11C'],['E']
noise,full term,"['ECSS-E-ST-32-11C', 'ECSS-E-ST-60-21C']",['E']
normal mode shape,full term,['ECSS-E-ST-32-11C'],['E']
orthogonality check,full term,['ECSS-E-ST-32-11C'],['E']
pick-up,full term,['ECSS-E-ST-32-11C'],['E']
pre-test analysis,full term,['ECSS-E-ST-32-11C'],['E']
real mode shape,full term,['ECSS-E-ST-32-11C'],['E']
reciprocity,full term,['ECSS-E-ST-32-11C'],['E']
resonance,full term,['ECSS-E-ST-32-11C'],['E']
resonance frequency,full term,['ECSS-E-ST-32-11C'],['E']
response,full term,"['ECSS-E-ST-32-11C', 'ECSS-E-ST-50-51C']",['E']
response vector assurance criterion RVAC,full term,['ECSS-E-ST-32-11C'],['E']
signal analysis,full term,['ECSS-E-ST-32-11C'],['E']
signal-to-noise ratio,full term,['ECSS-E-ST-32-11C'],['E']
signal conditioner,full term,['ECSS-E-ST-32-11C'],['E']
spectrum control,full term,['ECSS-E-ST-32-11C'],['E']
steady-state vibration,full term,['ECSS-E-ST-32-11C'],['E']
test analysis model TAM,full term,['ECSS-E-ST-32-11C'],['E']
test equipment,full term,['ECSS-E-ST-32-11C'],['E']
test set-up,full term,['ECSS-E-ST-32-11C'],['E']
transducer,full term,['ECSS-E-ST-32-11C'],['E']
transducer sensitivity,full term,['ECSS-E-ST-32-11C'],['E']
transient,full term,"['ECSS-E-ST-32-11C', 'ECSS-Q-ST-30-11C Rev.2', 'ECSS-Q-ST-30-11C Rev.1']","['E', 'Q']"
transmissibility,full term,['ECSS-E-ST-32-11C'],['E']
A-basis design allowable,full term,['ECSS-E-ST-32C Rev. 1'],['E']
B-basis design allowable,full term,['ECSS-E-ST-32C Rev. 1'],['E']
buckling,full term,['ECSS-E-ST-32C Rev. 1'],['E']
composite material,full term,['ECSS-E-ST-32C Rev. 1'],['E']
composite structure,full term,['ECSS-E-ST-32C Rev. 1'],['E']
contributing loads,full term,['ECSS-E-ST-32C Rev. 1'],['E']
damage tolerance,full term,"['ECSS-E-ST-32C Rev. 1', 'ECSS-Q-ST-70-45C']","['E', 'Q']"
design allowable,full term,['ECSS-E-ST-32C Rev. 1'],['E']
design factor,full term,['ECSS-E-ST-32C Rev. 1'],['E']
design limit load,full term,['ECSS-E-ST-32C Rev. 1'],['E']
design load,full term,['ECSS-E-ST-32C Rev. 1'],['E']
design parameters,full term,['ECSS-E-ST-32C Rev. 1'],['E']
design ultimate load,full term,['ECSS-E-ST-32C Rev. 1'],['E']
design ultimate stress,full term,['ECSS-E-ST-32C Rev. 1'],['E']
design yield load,full term,['ECSS-E-ST-32C Rev. 1'],['E']
design yield stress,full term,['ECSS-E-ST-32C Rev. 1'],['E']
detrimental deformation,full term,['ECSS-E-ST-32C Rev. 1'],['E']
dynamic load,full term,['ECSS-E-ST-32C Rev. 1'],['E']
effective mass,full term,['ECSS-E-ST-32C Rev. 1'],['E']
factor of safety,full term,['ECSS-E-ST-32C Rev. 1'],['E']
failure,full term,"['ECSS-E-ST-32C Rev. 1', 'ECSS-Q-ST-70-45C', 'ECSS-S-ST-00-01C']","['E', 'Q', 'S']"
fail-safe structure,full term,['ECSS-E-ST-32C Rev. 1'],['E']
flaw,full term,['ECSS-E-ST-32C Rev. 1'],['E']
generalized mass,full term,['ECSS-E-ST-32C Rev. 1'],['E']
limited service life items,full term,['ECSS-E-ST-32C Rev. 1'],['E']
limit load,full term,['ECSS-E-ST-32C Rev. 1'],['E']
mission life,full term,['ECSS-E-ST-32C Rev. 1'],['E']
primary structure,full term,['ECSS-E-ST-32C Rev. 1'],['E']
proof load,full term,['ECSS-E-ST-32C Rev. 1'],['E']
random load,full term,['ECSS-E-ST-32C Rev. 1'],['E']
relieving loads,full term,['ECSS-E-ST-32C Rev. 1'],['E']
residual stress,full term,"['ECSS-E-ST-32C Rev. 1', 'ECSS-E-ST-32-01C Rev. 2', 'ECSS-E-ST-32-01C Rev. 1']",['E']
safe life,full term,"['ECSS-E-ST-32C Rev. 1', 'ECSS-E-ST-32-01C Rev. 1']",['E']
safe life structure,full term,['ECSS-E-ST-32C Rev. 1'],['E']
scatter factor,full term,['ECSS-E-ST-32C Rev. 1'],['E']
service life,full term,['ECSS-E-ST-32C Rev. 1'],['E']
secondary structure,full term,['ECSS-E-ST-32C Rev. 1'],['E']
shock load,full term,['ECSS-E-ST-32C Rev. 1'],['E']
static loads,full term,['ECSS-E-ST-32C Rev. 1'],['E']
stiffness,full term,['ECSS-E-ST-32C Rev. 1'],['E']
structural design,full term,['ECSS-E-ST-32C Rev. 1'],['E']
structure,full term,['ECSS-E-ST-32C Rev. 1'],['E']
transient load,full term,['ECSS-E-ST-32C Rev. 1'],['E']
ultimate strength,full term,['ECSS-E-ST-32C Rev. 1'],['E']
yield strength,full term,['ECSS-E-ST-32C Rev. 1'],['E']
anoxic,full term,['ECSS-E-ST-34C'],['E']
closed-loop ECLSS,full term,['ECSS-E-ST-34C'],['E']
compression,full term,['ECSS-E-ST-34C'],['E']
decompression,full term,['ECSS-E-ST-34C'],['E']
depressurization,full term,['ECSS-E-ST-34C'],['E']
environmental control and life support,full term,['ECSS-E-ST-34C'],['E']
environmental control and life support system,full term,['ECSS-E-ST-34C'],['E']
hypoxic,full term,['ECSS-E-ST-34C'],['E']
open-loop ECLSS,full term,['ECSS-E-ST-34C'],['E']
partial pressure,full term,['ECSS-E-ST-34C'],['E']
pressurization,full term,['ECSS-E-ST-34C'],['E']
re-compression,full term,['ECSS-E-ST-34C'],['E']
re-pressurization,full term,['ECSS-E-ST-34C'],['E']
safe haven,full term,['ECSS-E-ST-34C'],['E']
ageing,full term,['ECSS-E-ST-35-10C'],['E']
auto ignition temperature,full term,['ECSS-E-ST-35-10C'],['E']
compatibility,full term,"['ECSS-E-ST-35-10C', 'ECSS-E-ST-70-11C']",['E']
compatibility life,full term,['ECSS-E-ST-35-10C'],['E']
contaminant gas,full term,['ECSS-E-ST-35-10C'],['E']
corrosion,full term,"['ECSS-E-ST-35-10C', 'ECSS-Q-ST-70-14C', 'ECSS-Q-ST-70-08C']","['E', 'Q']"
