ECSS Source Reference,ID,RequirementText,_class_
ECSS_E_ST_35CRev1,3.0,system shall easy use program administratorsnursing staff member,US
ECSS_E_ST_35CRev1,3.0,user shall able use system one day training,US
ECSS_E_ST_35CRev1,3.0,system shall help user avoid make mistake schedule class clinicals nurse student,US
ECSS-E-ST-10-06C,3.0,number mistake note student shall decrease first year,US
ECSS_Q_ST_40C,3.0,system shall intuitive program administratorsnursing staff member,US
ECSS-E-ST-10-06C,3.0,program administratorsnursing staff member shall successfully able use system manage schedule class clinicals,US
ECSS_Q_ST_40C,3.0,system shall use symbol word naturally understandable user community,US
ECSS_Q_ST_40C,3.0,verbiage use within system shall consistent standard english terminology national nursing community,US
ECSS-E-ST-10-06C,3.0,staff member shall able complete set task timely manner,PE
ECSS-E-ST-10-06C,3.0,response time general student management task shall take longer second response time schedule generation shall take longer second,PE
ECSS_Q_ST_40C,3.0,system shall available use hour pm,A
ECSS_Q_ST_40C,3.0,system shall achieve time,A
ECSS_Q_ST_40C,3.0,system shall able handle user requestsusage business hour,SC
ECSS_Q_ST_40C,3.0,system shall cater simultaneous user pm,SC
ECSS_Q_ST_40C,3.0,system shall capable process nursing student class next year,SC
ECSS_Q_ST_40C,3.0,system shall expect manage nurse program curriculum classclinical scheduling minimum year,SC
ECSS_Q_ST_40C,3.0,system shall able operate within business office environment typical nursing department depaul university,O
ECSS_Q_ST_40C,3.0,system shall use within specification define computer use program administratorsnursing staff member,O
ECSS_Q_ST_40C,3.0,system shall operate within window xp professional operating system,O
ECSS_Q_ST_40C,3.0,system shall interface campusconnects central server,O
ECSS_Q_ST_40C,3.0,system shall interface faculty central server,O
ECSS_Q_ST_40C,3.0,system shall interface student master server,O
ECSS_E_ST_50C,3.0,must able interface html browser,O
ECSS-E-ST-10-06C,3.0,authorize user shall access clinical site information,SE
ECSS-E-ST-10-06C,3.0,program administratorsnursing staff member people shall access clinical site detail,SE
ECSS-E-ST-10-06C,3.0,authorize user shall access student personal information,SE
ECSS-E-ST-10-06C,3.0,dr susan poslusny dr julie donalek people shall access student personal information,SE
ECSS_E_ST_50C,3.0,authorize user shall access portion system interface campusconnect,SE
ECSS_E_ST_50C,3.0,fit criterion dr susan poslusny karen sysol people shall access final class section schedule system interface campusconnect,SE
ECSS_E_ST_50C,3.0,system shall basic data integrity check reduce possibility incorrect invalid data introduce,SE
ECSS-E-ST-10-06C,3.0,system shall protect private information accordance organization information policy,SE
ECSS-E-ST-10-06C,3.0,system shall build secure possible malicious interference,SE
ECSS-E-ST-10-06C,3.0,system shall use organization standard virus protection software help monitor threat,SE
ECSS-E-ST-10-06C,3.0,cohort shall associate one program study offer department,F
ECSS-E-ST-10-06C,3.0,program administrator nurse staff member shall able add listing student cohort,F
ECSS-E-ST-10-06C,3.0,program administrator nurse staff member shall able add single student cohort,F
ECSS-E-ST-10-06C,3.0,student add cohort shall eligible cohort program study,F
ECSS-E-ST-10-06C,3.0,program administrator nurse staff member shall able specify preferred sequence class give cohort,F
ECSS-E-ST-10-06C,3.0,class within sequence cohort program administrator nurse staff member shall able specify quarter class offer,F
ECSS-E-ST-10-06C,3.0,program administrator nurse staff member shall able add new class sequence class,F
ECSS-E-ST-10-06C,3.0,program administrator nurse staff member shall able add clinical class section sequence class,F
ECSS_Q_ST_40C,3.0,program administrator nurse staff member shall able add new cohort system identified start month year,F
ECSS-E-ST-10-06C,3.0,program administrator nurse staff member shall able add new class nurse department system,F
ECSS-E-ST-10-06C,3.0,class shall either nonclinical class clinical class,F
ECSS-E-ST-10-06C,3.0,nonclinical class shall specify course name lecture room requirement instructor need,F
ECSS-E-ST-10-06C,3.0,clinical class shall specify course name lecture room requirement clinical site need lecture instructor need clinical lab instructor need,F
ECSS-E-ST-10-06C,3.0,program administratorsnursing staff member shall able create new program study,F
ECSS-E-ST-10-06C,3.0,program study shall consist program name listing require class clinical nonclinical must complete,F
ECSS-E-ST-10-06C,3.0,program administrator nurse staff member shall ability specify class require program study,F
ECSS_Q_ST_40C,3.0,system shall able display report need class give quarter cohort program program administratorsnursing staff member planning purpose,F
ECSS_E_ST_70_41C,3.0,report need class shall include limited class offer number section need number lab need room type need,F
ECSS-E-ST-10-06C,3.0,class give cohort shall conflict regard time day offer,F
ECSS-E-ST-10-06C,3.0,program administrator nurse staff member shall able add new clinical site system,F
ECSS-E-ST-10-06C,3.0,clinical site information shall include limited name site contact person contact information,F
ECSS-E-ST-10-06C,3.0,program administrator nurse staff member shall able add new clinical lab section exist clinical class system,F
ECSS-E-ST-10-06C,3.0,clinical lab section shall include clinical site name class instructor day time lab,F
ECSS-E-ST-10-06C,3.0,program administrator nurse staff member shall able add student registered clinical class clinical lab section class,F
ECSS_Q_ST_40C,3.0,system shall allow program administrator nursing staff member remove student clinical lab section,F
ECSS_Q_ST_40C,3.0,system shall allow program administratornursing staff member move student one clinical lab section another clinical lab section correspond clinical class,F
ECSS-E-ST-10-06C,3.0,program administratorsnursing staff member shall able cancel clinical lab section student register clinical lab section,F
ECSS-E-ST-10-06C,3.0,program administratornursing staff member shall able add new nurse student system,F
ECSS-E-ST-10-06C,3.0,staff member shall ability manage progress part time student include modify sequence class timeline class,F
ECSS_Q_ST_40C,3.0,system shall able display printable summary individual cohort include student enlisted program study sequence class cohort progress program timeline completion,F
ECSS_Q_ST_40C,3.0,system shall able display printable summary individual clinical site include information lab hold site give quarter clinical site general information lab hold location date time labs hold,F
ECSS_Q_ST_40C,3.0,system shall able display printable summary individual clinical lab include limited class name class number lab section listing student enrol instructor day time location,F
ECSS_Q_ST_40C,3.0,system shall able display printable summary individual nursing student include limited student name student id admission date class credit gpa cohort student enrol,F
ECSS_Q_ST_40C,3.0,system shall able display printable summary system log,F
ECSS_Q_ST_40C,3.0,system shall contain contact information email phone number people relevant system include limited staff member student lecture instructor clinical lab instructor clinical site administrator,F
ECSS_Q_ST_40C,3.0,system use store email address primary mean communicate information affect party,F
ECSS_Q_ST_40C,3.0,system notify affected party routine communication purpose include limited informing student upcoming offer class timeline schedule beshall,F
ECSS_Q_ST_40C,3.0,system notify affected party change occur affect clinicals include limited clinical section capacity change clinical section cancellation,F
ECSS_Q_ST_40C,3.0,system notify affected party change occur affect class include limited class cancellation class section detail change change class offering give quarter,F
ECSS_Q_ST_40C,3.0,system notify affected party change occur affect cohort include limited change sequence cohort program study change give week schedule lab cancel week due instructor illness,F
ECSS_Q_ST_40C,3.0,system notify affected party change occur affect specific student include limited changing student status full time part time move student different clinical section,F
ECSS-E-ST-10-06C,3.0,program administratorsnursing staff member shall ability modify information relate cohort include cohort identifier program study prefer sequence class quarter cohort take specific class,F
ECSS-E-ST-10-06C,3.0,program administratorsnursing staff member shall ability modify information relate program study within nurse department include program study name required class program study,F
ECSS-E-ST-10-06C,3.0,program administratorsnursing staff member shall ability modify information relate clinical site include clinical site name site contact person contact information address,F
ECSS-E-ST-10-06C,3.0,program administratorsnursing staff member shall ability modify information relate clinical lab section include clinical site name departmentsection lab class instructor day time lab contact information,F
ECSS-E-ST-10-06C,3.0,program administratorsnursing staff member shall ability modify information relate nursing student include student id student name phone number email status full time part time program study,F
ECSS_E_ST_50C,4.0,dispute application shall comply corporate standard user interface creation internally externally use application,LF
ECSS_E_ST_50C,4.0,screen create part dispute application must comply corporate standard interface creation,LF
ECSS-E-ST-10-06C,4.0,list dispute case display search perform must color coded easy identification dispute case base upon dispute case status,US
ECSS-E-ST-10-06C,4.0,cardmember merchant service representative shall use dispute application regularly day training course,US
ECSS-E-ST-10-06C,4.0,cardmember service representative shall able successfully create dispute case first encounter complete training course,US
ECSS-E-ST-10-06C,4.0,merchant service representative shall able successfully perform follow action dispute case first encounter complete training course,US
ECSS-E-ST-10-06C,4.0,maximum wait time user navigate one screen another within dispute application shall second,PE
ECSS-E-ST-10-06C,4.0,dispute application shall support concurrent user without degradation performance application,PE
ECSS-E-ST-10-06C,4.0,dispute application shall available xx exception follow schedule maintenance window monday saturday est sunday amd est,O
ECSS_E_ST_50C,4.0,dispute application shall interface statement database statement database provide transaction detail dispute system transaction detail must obtain statement database,O
ECSS_E_ST_50C,4.0,dispute application shall interface cardmember information database cardmember information database provide detailed information regard cardmember cardmember detail information must obtain cardmember information database,O
ECSS_E_ST_50C,4.0,dispute application shall interface merchant information database merchant information database provide detailed information regard merchant merchant detail information shall obtain merchant information database,O
ECSS_E_ST_50C,4.0,dispute application shall interface letter application allow dispute application request letter part dispute initiation dispute follow process letter request must send print letter utility application,O
ECSS_E_ST_50C,4.0,dispute application shall interface cardmember post bill system allow dispute application request adjustment cardmember merchant account adjustment request must send cardmember post billing system,O
ECSS_E_ST_50_51C,4.0,dispute application shall ensure user appropriate access level allow initiate dispute request,SE
ECSS_E_ST_50_51C,4.0,user update access must able initiate dispute request,SE
ECSS_E_ST_50_51C,4.0,dispute application shall ensure authorized user allow logon application,SE
ECSS-E-ST-10-06C,4.0,authorize user authenticate must able logon dispute system,SE
ECSS_E_ST_70_41C,4.0,dispute system shall generate user report detail new user add change exist user access level report review auditing purpose,SE
ECSS_E_ST_70_41C,4.0,addition new user modification user access shall record user report,SE
ECSS-E-ST-10-06C,4.0,user account revoke reinstantiated system administrator,SE
ECSS-E-ST-10-06C,4.0,system administrator shall able reset revoke user logon account,SE
ECSS-E-ST-10-06C,4.0,dispute application shall manipulate view business data user direct access data file database,SE
ECSS-E-ST-10-06C,4.0,update data file database must initiate dispute system,SE
ECSS-E-ST-10-06C,4.0,dispute application must conform legal requirement specify merchant operate regulation,L
ECSS-E-ST-10-06C,4.0,business rule specify dispute system shall compliance merchant operating regulation,L
ECSS-E-ST-10-06C,4.0,dispute application must conform legal requirement specify regulation e regulation z govern credit card dispute process,L
ECSS-E-ST-10-06C,4.0,business rule specify dispute system shall compliance guideline regulation e regulation z,L
ECSS-E-ST-10-06C,4.0,dispute application must maintain detailed history every action user take dispute case ensure complete audit trail question arise later regard particular dispute case,L
ECSS-E-ST-10-06C,4.0,action modify exist dispute case must record case history,L
ECSS-E-ST-10-06C,4.0,dispute system must accessible internal external user,F
ECSS-E-ST-10-06C,4.0,dispute system must prevent user access dispute case belong cardholder base,F
ECSS_E_ST_50C,4.0,dispute system facilitate direct data entry dispute case via user interface support real time responses user,F
ECSS_E_ST_50C,4.0,dispute system must provide different level access regard dispute case initiation followup action,F
ECSS_E_ST_50C,4.0,dispute system shall provide view access capability authorize user application,F
ECSS_E_ST_50C,4.0,dispute system shall provide update access capability authorize user application,F
ECSS_E_ST_50C,4.0,dispute system must allow user select disputable transaction base age transaction user interface initiate dispute ticket retrieval request chargeback notification select transaction,F
ECSS_E_ST_70_32C,4.0,dispute system must provide user ability initiate single dispute case multiple transaction belong single merchant,F
ECSS_E_ST_70_32C,4.0,dispute system provide user ability create initiate ticket retrieval request part ticket retrieval creation process system must prompt user enter require information create ticket retrieval request ticket retrieval request document send merchant inquire validity transaction,F
ECSS_E_ST_70_32C,4.0,dispute system must allow user create three unique type ticket retrieval request three type ticket retrieval request request original receipt request copy receipt request portfolio portfolio consist documentation would provide proof purchase documentation receive car rental agency sale receipt,F
ECSS_E_ST_70_32C,4.0,dispute system must prevent external user request original receipt request original receipt restrict internal user,F
ECSS_E_ST_70_32C,4.0,dispute system must provide confirmation user upon creation ticket retrieval request contain follow information dispute case number type retrieval request copy original portfolio date merchant response due,F
ECSS_E_ST_70_32C,4.0,dispute system shall allow user create initiate chargeback request system must prompt user enter require information initiate chargeback request chargeback request result print chargeback notification send merchant indicate account charge back proof provide disputed transaction valid,F
ECSS_E_ST_70_32C,4.0,dispute system must provide confirmation user upon creation chargeback request confirmation must contain follow information dispute case number type chargeback request pending immediate date merchant response due,F
ECSS_E_ST_70_32C,4.0,dispute system shall prevent creation duplicate dispute request time,F
ECSS_E_ST_70_32C,4.0,dispute system shall accurately provide list possible reason code give transaction list possible reason code must derive base type transaction industry merchant belong accord business rule define dispute system,F
ECSS_E_ST_70_32C,4.0,dispute system must provide ability view exist dispute case,F
ECSS_E_ST_70_32C,4.0,dispute system must provide search functionality search method must include ability search dispute case number merchant account number cardmember account number issuer number addition criterion search functionality must allow user limit result search date range type dispute ticket retrieval request chargeback notification case status open close dispute reason code,F
ECSS_Q_ST_70C,4.0,list dispute case meet enter search criterion must provide user list case must differentiate type andor status case color cod line item list example open case yellow closed case gray,F
ECSS_Q_ST_70C,4.0,dispute system shall provide user ability view history activity occur dispute case,F
ECSS_Q_ST_70C,4.0,dispute system shall provide user ability follow dispute case via followup action list available follow action give dispute case must filter status case access level user,F
ECSS_Q_ST_70C,4.0,dispute system shall record name user date activity create modifies dispute case system detailed history action take case include date user perform action must maintain auditing purpose,F
ECSS_Q_ST_70C,4.0,systematic nonuser initiate action occur case dispute age process case activity generate upon next logon user initiate dispute case must notify systematic action occur dispute case,F
ECSS_Q_ST_70C,4.0,letter request must format accord guideline specify print letter utility system,F
ECSS_Q_ST_70C,4.0,dispute case close month must purge online dispute database,F
ECSS_Q_ST_70C,5.0,product must support internet explorer,O
ECSS_Q_ST_70C,5.0,product must support mozilla firefox,O
ECSS_E_ST_50C,5.0,product shall interface choice part system provide feed recycle part data,O
ECSS_E_ST_50C,5.0,product shall run exist hardware environment,O
ECSS_E_ST_50C,5.0,product shall adhere corporate architecture guideline,O
ECSS_E_ST_50C,5.0,product shall comply corporate user interface guideline,LF
ECSS-E-ST-10-06C,5.0,product shall comply corporate color scheme,LF
ECSS-E-ST-10-06C,5.0,appearance product shall appear professional,LF
ECSS-E-ST-10-06C,5.0,product shall easy use adjuster collision estimator adjuster collision estimator shall find product easy use,US
ECSS-E-ST-10-06C,5.0,product shall increase productivity collision estimator collision estimator shall agree productivity increase within month use product,US
ECSS-E-ST-10-06C,5.0,user shall feel satisfied use product user satisfy product,US
ECSS-E-ST-10-06C,5.0,product shall easy learn adjuster collision estimator product shall learn two day onsite train,US
ECSS-E-ST-10-06C,5.0,user shall easily locate instruction use product user help find within system,US
ECSS-E-ST-10-06C,5.0,search recycle part shall take longer second search result shall return second,PE
ECSS-E-ST-10-06C,5.0,search prefer repair facility shall take longer second preferred repair facility return within second,PE
ECSS_E_ST_70_41C,5.0,recycle part audit report shall return user within second audit report shall return within second,PE
ECSS_E_ST_70_41C,5.0,preferred repair facility rating shall save within second save shall occur within second,PE
ECSS-E-ST-10-06C,5.0,product shall adhere corporate online availability schedule application bring within schedule outage per availability schedule,A
ECSS-E-ST-10-06C,5.0,product shall achieve uptime product shall fail available online time,A
ECSS-E-ST-10-06C,5.0,product shall able handle simultaneous user system shall perform user time,SC
ECSS_E_ST_35CRev1,5.0,average number recycle part record per day shall,SC
ECSS_E_ST_50C,5.0,product shall able handle concurrent user within year initial launch,SC
ECSS_E_ST_50C,5.0,estimator product shall able operated repair facility dirty noisy condition,O
ECSS_E_ST_50C,5.0,product shall interface choiceparts system per day approximately,O
ECSS-E-ST-10-06C,5.0,maintenance product fall within establish corporate maintenance window,O
ECSS-E-ST-10-06C,5.0,product shall support use corporate support center,O
ECSS-E-ST-10-06C,5.0,product installation upgrade shall handle middleware technology team within establish launch time frame,O
ECSS_E_ST_70_41C,5.0,adjuster request recycle part audit report user without adjuster role shall request recycled part audit,SE
ECSS-E-ST-10-06C,5.0,adjuster supervisor role update prefer repair facility rating user without supervisor role access repair facility rating,SE
ECSS-E-ST-10-06C,5.0,collision estimator shall search recycled part user without collision estimator role shall access search recycle part,SE
ECSS_E_ST_35CRev1,5.0,valid data shall enter system invalid data shall enter system,SE
ECSS_E_ST_35CRev1,5.0,one insurance company shall able view another insurance company claim data,SE
ECSS_E_ST_35CRev1,5.0,product shall free computer virus,SE
ECSS_E_ST_35CRev1,5.0,system shall prevent malicious attack include denial service,SE
ECSS-E-ST-10-06C,5.0,product must comply sarbanesoxley,L
ECSS-E-ST-10-06C,5.0,product shall comply estimatics law relate recycled part usage,L
ECSS-E-ST-10-06C,5.0,product shall comply insurance regulation regard claim process,L
ECSS-E-ST-10-06C,5.0,user shall search preferred repair facility use vehicle vehicle location radius mile,F
ECSS-E-ST-10-06C,5.0,vehicle data shall include vehicle year make model,F
ECSS-E-ST-10-06C,5.0,vehicle location shall include street address city state zipcode,F
ECSS_E_ST_35CRev1,5.0,system shall resolve zipcode street address city state zipcode unknown,F
ECSS_E_ST_35CRev1,5.0,search radius shall mile,F
ECSS_E_ST_35CRev1,5.0,system shall locate preferred repair facility highest rating input criterion,F
ECSS-E-ST-10-06C,5.0,adjuster shall enter preferred repair facility estimate assignment,F
ECSS-E-ST-10-06C,5.0,adjuster shall able override preferred repair facitlity estimate assignment,F
ECSS-E-ST-10-06C,5.0,preferred repair facility shall return user,F
ECSS_E_ST_35CRev1,5.0,system shall return list repair facility within radius preferred repair facility determine,F
ECSS-E-ST-10-06C,5.0,estimator shall search available recycled part use damage vehicle part information,F
ECSS-E-ST-10-06C,5.0,estimator shall search available recycled part use list preferred part supplier,F
ECSS_E_ST_35CRev1,5.0,system shall search available recycled part supply vehicle part supplier,F
ECSS-E-ST-10-06C,5.0,estimator shall search zipcode radius mile part find preferred part supplier,F
ECSS_E_ST_35CRev1,5.0,system shall retain available recycle part supplier return search,F
ECSS-E-ST-10-06C,5.0,available recycle part information supplier shall return user,F
ECSS-E-ST-10-06C,5.0,estimator shall apply select recycled part collision estimate,F
ECSS-E-ST-10-06C,5.0,estimator shall apply recycled part collision estimate available part return,F
ECSS-E-ST-10-06C,5.0,adjuster shall review collision estimate,F
ECSS_E_ST_50_51C,5.0,adjuster shall request recycled part audit collision estimate,F
ECSS_E_ST_50_51C,5.0,recycled part search result provide estimator shall retrieve system,F
ECSS_E_ST_70_41C,5.0,system shall generate audit report base available recycled part collision estimate,F
ECSS_E_ST_70_41C,5.0,audit report shall include total number recycle part use estimate,F
ECSS_E_ST_70_41C,5.0,audit report shall include number available recycled part original search result,F
ECSS_E_ST_70_41C,5.0,audit report shall include percentage available recycled part use estimate,F
ECSS_E_ST_70_41C,5.0,audit report shall include total score audit sum indivual line item,F
ECSS_E_ST_70_41C,5.0,audit report shall display user,F
ECSS_E_ST_70_41C,5.0,audit report shall available adjuster later point time,F
ECSS_E_ST_70_41C,5.0,user shall select view preferred repair facility rating,F
ECSS_E_ST_70_41C,5.0,current repair facility rating shall display user,F
5ECSS_E_ST_70_41C,,system display blank set rating rating yet define,F
ECSS_E_ST_70_41C,5.0,user shall enter new rating base audit report,F
ECSS-E-ST-10-06C,5.0,rating shall scale,F
ECSS-E-ST-10-06C,5.0,rating shall include category attempt use recycled part actual use recycle part,F
ECSS-E-ST-10-06C,5.0,user shall select save prefer repair facility rating,F
ECSS_E_ST_35CRev1,5.0,preferred repair facility rating shall save system,F
ECSS-E-ST-10-06C,6.0,product must work database management system dbms market whether dbms colocated product machine locate different machine computer network,O
ECSS-E-ST-10-06C,6.0,product function alongside server software operate system java runtime instal,O
ECSS-E-ST-10-06C,6.0,product require collaboration database management system dbms dbms may locate machine product separate machine reside computer network,O
ECSS-E-ST-10-06C,6.0,product must make use webapplication server technology open source example include apache web server tomcat jboss application server,O
ECSS-E-ST-10-06C,6.0,database management system oracle db mysql hsql need integrate product,O
ECSS-E-ST-10-06C,6.0,product look feel shall able incorporate aspect customer organization logo brand identity,LF
ECSS-E-ST-10-06C,6.0,product shall conservative professional appearance,LF
ECSS_E_ST_10_11C,6.0,product shall make user want use user survey report regularly use product first week postlaunch,US
ECSS_E_ST_10_11C,6.0,product shall easy use user able successfully reserve conference room within minute product use,US
ECSS_E_ST_10_11C,6.0,product shall give user feedback necessary user survey report product accurately confirms action,US
ECSS_E_ST_10_11C,6.0,product shall allow user select choose language one target market country,US
ECSS-E-ST-10-06C,6.0,product shall allow customization start page view preference,US
ECSS-E-ST-10-06C,6.0,employee able successfully use product within minute informally navigate product le minute user shall able successfully setup meeting reserve conference room,US
ECSS-E-ST-10-06C,6.0,product shall use standard navigation menu familiar web user,US
ECSS-E-ST-10-06C,6.0,product shall allow intuitive search available conference room,US
ECSS-E-ST-10-06C,6.0,product shall conform american disability act,US
ECSS-E-ST-10-06C,6.0,response shall fast enough avoid interrupt user flow thought task shall complete within second task shall complete within second,PE
ECSS-E-ST-10-06C,6.0,aside server failure software product shall achieve time,A
ECSS-E-ST-10-06C,6.0,product shall create exception log problem encounter within product transmission company analysis resolution,FT
ECSS_E_ST_50_51C,6.0,product shall capable handle concurrent request number increase release concurrency capacity must able handle peak schedule time early morning late afternoon hour,SC
ECSS_E_ST_50_51C,6.0,product shall able process transaction per hour within two year launch number increase release,SC
ECSS_E_ST_50_51C,6.0,product shall expect operate least year customer installation,SC
ECSS_E_ST_50_51C,6.0,product shall use office environment,O
ECSS_E_ST_31_04C,6.0,product must able interface html browser product shall transmit data user product without problem product shall display html properly html browser test minimum test browser,O
ECSS_E_ST_31_04C,6.0,product must able interface various database management system product shall communicate successfully database management system transaction,O
ECSS_E_ST_31_04C,6.0,product must able interface various email server product shall able send email,O
ECSS_E_ST_31_04C,6.0,product shall available distribution via internet binary zip file,O
ECSS-E-ST-10-06C,6.0,product shall available distribution package cd,O
ECSS-E-ST-10-06C,6.0,product available licensing oneserver twofive server fiveormore server license,O
ECSS-E-ST-10-06C,6.0,new user must able added system within minute new user able log system within minute,US
ECSS-E-ST-10-06C,6.0,product must design use design pattern cod best practice maintenance software developer able integrate new functionality product work day,MN
ECSS-E-ST-10-06C,6.0,product must highly configurable use various database management system end user end user able integrate new database management system product without change product software code,MN
ECSS-E-ST-10-06C,6.0,maintenance release offer customer year release shall take longer minute customer base install,MN
ECSS-E-ST-10-06C,6.0,every register user access product support site via internet register user shall find solution problem within minute use support site,US
ECSS-E-ST-10-06C,6.0,customer shall able easily integrate new building map product throughout product lifecycle integration new map product shall possible little support product support staff,MN
ECSS-E-ST-10-06C,6.0,product shall translate foreign language target market country languages future release emerge target market shall take day configure product market language,US
ECSS-E-ST-10-06C,6.0,product expect integrate multiple database management system product operate oracle sql server db mysql hsql ms access,O
ECSS-E-ST-10-06C,6.0,product shall able installed operating environment within day,O
ECSS-E-ST-10-06C,6.0,product shall ensure company employee external user companyapproved user id may product access logons shall either company employee external user companyapproved user id,SE
ECSS-E-ST-10-06C,6.0,manager able perform search query reservation user search query reservation user shall logons management logons,SE
ECSS-E-ST-10-06C,6.0,product shall ensure database data corresponds data enter user conference room reservation system contain information enter user,SE
ECSS-E-ST-10-06C,6.0,product shall prevent input malicious data product andor adjacent hardwaresoftware system data shall remain uncorrupted time malicious data input product,SE
ECSS-E-ST-10-06C,6.0,product andor dependent databasesfilesystems shall remain operational result input malicious data product andor dependent databasesfilesystems shall crash time malicious data input product,FT
ECSS-E-ST-10-06C,6.0,product shall ability receive automatic software update new threat emerge customer able receive automatic software update transmit installed product,SE
