ID,RequirementText,_subclass_
ECSS-E-ST-60-10_1020004,use n notation express probability shall restrict case hypothesis gaussian distribution hold note example general case pc pc acceptable pc indeed n format assume gaussian distribution use notation general statistical distribution cause wrong assumption make gaussian bound twice far mean bound relation hold general distribution note upon certain condition assumption gaussian distribution exclude priory example central limit theorem state sum large number independent identicallydistributed random variable approximately normally distribute,P
ECSS-E-ST-60-10_1020005,specify statistical interpretation shall state variable vary across possible range set worst case note commonly use interpretation temporal ensemble mixed extreme case inappropriate situation annex discus,P
ECSS-Q-ST-30-09_0400001,availability requirement shall respect mandatory characteristic define system engineering process note eg traceable identify unique unambiguous,A
ECSS-Q-ST-30-09_0400002,availability requirement verification method shall exist,A
ECSS-Q-ST-30-09_0400003,availability requirement shall quantitative requirement,A
ECSS-Q-ST-30-09_0400006,availability requirement shall specify accord one several follow class availability specification detail clause,A
ECSS-Q-ST-30-09_0400007,type availability requirement specify figure shall define mean best estimate probability figure point estimation unit failure rate generally compute way sometimes confidence level,A
ECSS-Q-ST-30-09_0400008,operative scenario duration longer system equipment mean time mdt instantaneous mean availability reach asymptotic steady state behaviour requirement shall formulate term steadystate availability assure simplify generally conservative approach,A
ECSS-Q-ST-30-09_0400009,availability mission lifetime shall compute ratio time service fulfil total mission lifetime,A
ECSS-Q-ST-30-09_0400010,nonmaintainable system availability mission lifetime requirement shall establish consider mission still operational end life note example single point failure consider unavailability contributor,A
ECSS-Q-ST-30-09_0400013,availability specific time requirement shall address probability quasiinstantaneous operation successfully handle,A
ECSS-Q-ST-30-09_0400014,nonmaintainable system availability specific time requirement shall specify single requirement availability reliability characteristic,A
ECSS-Q-ST-30-09_0400016,availability specify percentage number successfully deliver product availability requirement shall express follow ratio successfully deliver product number request product note instance wrt applicable criterion performance delay coverage cumulate service hour mission note example expect number twts x hour operation redundant channel configuration year acquire database volume percentage note example geographical coverage earth observation mission,A
ECSS-Q-ST-30-09_0400019,availability requirement shall quantify use one several follow metric inherent instantaneous availability operational instantaneous availability inherent mean availability operational mean availability inherent steadystate availability operational steadystate outage duration occurrence mut mdt mean time restore mtbf mtbo mttr mttf mtto amount successfully deliver product,A
ECSS-Q-ST-30-09_0400020,follow definition system level availability requirement accord clause availability metric support metric shall select accord table,A
ECSS-Q-ST-80_0720039,supplier shall establish software product assurance requirement next level supplier tailor role project include requirement produce software product assurance plan,G
ECSS-Q-ST-80_0720228,software quality requirement include safety dependability requirement shall derive requirement defined system level,Q
ECSS-Q-ST-80_0720229,quality requirement shall express quantitative term constraint,Q
ECSS-Q-ST-80_0720236,software quality requirement shall document requirement baseline technical specification,Q
ECSS-Q-ST-80_0720237,software requirement shall correct unambiguous complete consistent verifiable traceable,Q
ECSS-Q-ST-80_0720238,requirement method verification validation shall specify,Q
ECSS-E-ST-10_0790006,system engineering function shall ensure consistency requirement system level lower level well amongst level,G
ECSS-E-ST-10_0790007,system engineering function shall ensure requirement generate b conformance characteristic specify ecssest clause,G
ECSS-E-ST-10_0790008,system engineering function shall ensure requirement lower level element justification reflect requirement justification file conformance annex,G
ECSS-E-ST-10_0790009,system engineering function shall ensure forward backward traceability requirement source lower level requirement exist change design inducing modification requirement verification closeout,G
